Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-3,H06,9.68E-06,EC_11189194,2,0.689719131,0.401527182,1.001492292,1.051139435,-0.105096327,0.907410855,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H07,2.90E-06,EC_11189194,2,0.650238474,0.443184583,0.842175119,1.226747903,0.072262145,0.794369975,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H08,8.71E-07,EC_11189194,2,0.295972443,0.577412217,0.383985087,1.0747718,-0.014201794,0.311370836,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H09,2.61E-07,EC_11189194,2,0.15845257,0.99590218,0.024267524,1.188625538,-0.003680723,0.039119992,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H10,7.84E-08,EC_11189194,2,0.096979332,0.999887402,-0.01447236,0.859364869,0.063266235,0.000114392,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H11,2.35E-08,EC_11189194,2,0.13354531,0.878643475,0.138241451,0.92471692,-0.081560545,0.084461036,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H12,7.06E-09,EC_11189194,2,0.066772655,0.995813,-0.013574975,0.919804996,0.036542866,-0.033323598,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H13,2.12E-09,EC_11189194,2,0.121886592,0.853262657,0.024748417,0.872070133,-0.086402932,0.036490219,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H14,6.35E-10,EC_11189194,2,0.078431373,0.984483252,0.114195046,1.029625762,-0.010363471,0.014390071,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J05,3.23E-05,EC_11190448,2,0.598019225,0.055504699,1.390376803,0.280884705,-0.13262296,1.0432001,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-1,J06,9.68E-06,EC_11190448,2,0.565977279,0.258608015,0.76169679,0.881813317,0.017045744,0.720294161,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J07,2.90E-06,EC_11190448,2,0.230410719,0.546417955,0.290545725,1.084578374,0.076338782,0.21505302,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J08,8.71E-07,EC_11190448,2,0.115351005,0.865812901,0.042280581,1.061520317,0.002422092,0.018495592,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J09,2.61E-07,EC_11190448,2,0.187008447,0.957086151,0.038920622,0.944831567,0.014347683,0.094751537,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J10,7.84E-08,EC_11190448,2,0.147684241,0.961329074,0.100142827,0.864484815,0.09711412,0.089170563,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J11,2.35E-08,EC_11190448,2,0.137780367,1.202144761,-0.03201032,0.930508624,0.141574521,0.02426084,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J12,7.06E-09,EC_11190448,2,0.136615205,1.059198332,-0.010442938,1.117987382,0.122554129,0.012919512,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J13,2.12E-09,EC_11190448,2,0.117390038,1.07509532,0.024369462,0.889549314,0.040087774,0.030492703,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J14,6.35E-10,EC_11190448,2,0.141275852,1.125637728,0.012616659,1.176840329,0.011100364,0.020076031,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J05,3.23E-05,EC_11190448,2,0.40982169,0.05289688,1.37423037,0.442352709,-0.17000797,0.84777119,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-2,J06,9.68E-06,EC_11190448,2,0.589885998,0.278831663,0.84384283,0.81613599,0.12316153,0.779426969,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J07,2.90E-06,EC_11190448,2,0.135925168,0.578195369,0.228724241,1.090177803,0.016995218,0.104262019,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J08,8.71E-07,EC_11190448,2,0.13884829,0.687631751,0.246334302,0.683723579,-0.081261955,0.153239916,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J09,2.61E-07,EC_11190448,2,0.11487869,0.823035508,0.010300399,0.922283096,-0.004678533,0.019726967,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J10,7.84E-08,EC_11190448,2,0.067231804,0.898000066,0.005077016,0.665062793,0.001570138,-0.001051588,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J11,2.35E-08,EC_11190448,2,0.109324759,0.910532447,-0.004907333,0.789552007,-0.087319341,0.021894339,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J12,7.06E-09,EC_11190448,2,0.03741596,1.021384901,-0.029945991,0.837800878,0.070419766,-0.058506222,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J13,2.12E-09,EC_11190448,2,0.044723765,1.007582971,-0.009748818,0.871381951,0.001851753,-0.047506853,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J14,6.35E-10,EC_11190448,2,0.027769658,0.9507223,-0.021555886,0.676369327,-0.001171626,-0.048503297,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J05,3.23E-05,EC_11190448,2,0.312930578,0.134515048,1.279336649,0.864121989,-0.219475802,0.681759804,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-3,J06,9.68E-06,EC_11190448,2,0.615792263,0.333698068,0.829635376,0.770393427,-0.03392213,0.802493985,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J07,2.90E-06,EC_11190448,2,0.208267091,0.710930131,0.051612245,1.134813675,-0.105353062,0.10054087,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J08,8.71E-07,EC_11190448,2,0.183624801,0.875078148,0.186866733,1.115093422,-0.044331357,0.1302127,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J09,2.61E-07,EC_11190448,2,0.144144144,0.940632969,0.124213624,0.715858155,-0.009072168,0.109408367,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J10,7.84E-08,EC_11190448,2,0.132485427,1.058965406,0.015950889,1.095357296,0.041949563,0.021171029,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J11,2.35E-08,EC_11190448,2,0.069157393,1.051067266,0.010275238,0.791382023,-0.052048673,-0.009675764,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J12,7.06E-09,EC_11190448,2,0.134075252,0.842681146,0.1301266,0.861211836,-0.05427795,0.088125459,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J13,2.12E-09,EC_11190448,2,0.122151563,1.050188458,-0.006689753,0.822937079,-0.029954169,0.029801348,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,J14,6.35E-10,EC_11190448,2,0.051934287,1.002540234,0.02410057,0.87047597,0.081479203,-0.02813272,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F05,3.23E-05,EC_11188498,2,0.210311681,0.427356169,1.319558865,0.309296059,-0.075679673,0.656300841,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-1,F06,9.68E-06,EC_11188498,2,0.621613749,0.340754058,1.034539088,0.971887284,0.153277729,0.864654225,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F07,2.90E-06,EC_11188498,2,0.333236237,0.480717923,0.634853316,1.163416621,-0.0121185,0.430718992,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F08,8.71E-07,EC_11188498,2,0.178852316,0.812684734,0.083345623,0.99335906,-0.097995611,0.099066269,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F09,2.61E-07,EC_11188498,2,0.220215555,0.829816351,0.077102008,1.028530466,-0.021300481,0.131461013,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F10,7.84E-08,EC_11188498,2,0.155549082,1.157721333,0.009104341,1.035741775,0.03971803,0.045718066,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F11,2.35E-08,EC_11188498,2,0.151179726,0.977039087,0.087355984,0.91371153,0.045607144,0.082813908,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F12,7.06E-09,EC_11188498,2,0.20302942,1.015585926,0.051412179,1.209147096,-0.031246065,0.088371992,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F13,2.12E-09,EC_11188498,2,0.150014565,1.074025454,0.004190521,1.13867671,0.088982426,0.028721818,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,F14,6.35E-10,EC_11188498,2,0.120594232,1.193461022,0.016305736,1.373138027,0.058159692,-0.016805003,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F05,3.23E-05,EC_11188498,2,-0.119555685,-0.007582307,0.757079296,0.245915289,-0.303711477,0.14823312,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-2,F06,9.68E-06,EC_11188498,2,0.627301958,0.290042229,1.024225713,0.961441903,0.051179596,0.86707337,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F07,2.90E-06,EC_11188498,2,0.311897106,0.380641999,0.496045602,1.094250585,0.085257705,0.365983055,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F08,8.71E-07,EC_11188498,2,0.107570886,0.816173359,0.052087772,0.903104588,0.001676408,0.030454484,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F09,2.61E-07,EC_11188498,2,0.127448115,0.741918807,0.072482498,0.730361846,0.022199787,0.07328078,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F10,7.84E-08,EC_11188498,2,0.081847413,0.910279357,-0.006043821,0.973175822,0.02379915,-0.021819151,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,F11,2.35E-08,EC_11188498,2,0.125109617,0.828111447,-0.00876059,0.872396805,-0.04172423,0.026925544,FALSE,FALSE,Not Fitted,FALSE
