Plate,Well,Class,G/N,Surface_nucleus,R/N,Nuclei,Eccentricity,CPD_ID,Concentration
EMT-Serie2-1-C1,J16,2,0.720250802,-0.229785776,0.897759313,0.598952035,0.050090005,EC_11261632,9.68E-06
EMT-Serie2-1-C1,J17,2,0.892113339,0.292291129,0.413687647,0.240225715,0.239231953,EC_11261632,2.90E-06
EMT-Serie2-1-C1,J18,2,1.068118688,0.838959101,0.111241459,0.077791213,0.938248415,EC_11261632,8.71E-07
EMT-Serie2-1-C1,J19,2,0.784886963,0.839583053,0.065539109,0.085449416,0.778769142,EC_11261632,2.61E-07
EMT-Serie2-1-C1,J20,2,1.153031233,0.78235071,-0.00943227,-0.062877872,1.312358144,EC_11261632,7.84E-08
EMT-Serie2-1-C1,J21,2,1.180563196,0.947172027,0.051891646,0.016122531,1.011609402,EC_11261632,2.35E-08
EMT-Serie2-1-C1,J22,2,1.015303501,1.129843278,0.143812795,0.10197501,0.679502231,EC_11261632,7.06E-09
EMT-Serie2-1-C1,J23,2,0.989710886,0.861262341,0.13388565,0.089480048,0.779917038,EC_11261632,2.12E-09
EMT-Serie2-1-C1,J24,2,0.665247244,0.858937813,0.198193643,0.196694881,0.119172471,EC_11261632,6.35E-10
EMT-Serie2-1-C2,J15,2,0.361135292,-0.290696851,0.903162469,0.315085158,-1.160286386,EC_11261632,3.23E-05
EMT-Serie2-1-C2,J16,2,0.586800399,-0.148977858,0.814955557,0.519059205,0.129745581,EC_11261632,9.68E-06
EMT-Serie2-1-C2,J17,2,0.861413368,0.275848638,0.449462974,0.321978913,0.536841827,EC_11261632,2.90E-06
EMT-Serie2-1-C2,J18,2,1.107351034,0.983463954,0.111351587,0.065693431,0.99273467,EC_11261632,8.71E-07
EMT-Serie2-1-C2,J19,2,1.197786341,0.933005996,0.057650419,0.106650446,1.023856701,EC_11261632,2.61E-07
EMT-Serie2-1-C2,J20,2,1.103983534,2.048050139,-0.050274858,-0.048256285,1.227655808,EC_11261632,7.84E-08
EMT-Serie2-1-C2,J21,2,0.855019743,0.799856003,0.034691214,0.04785077,0.91160075,EC_11261632,2.35E-08
EMT-Serie2-1-C2,J22,2,1.05480098,0.868160144,-0.035798454,-0.113949716,1.280388893,EC_11261632,7.06E-09
EMT-Serie2-1-C2,J23,2,0.861630282,0.891884236,0.050393391,-0.025547445,0.89751922,EC_11261632,2.12E-09
EMT-Serie2-1-C2,J24,2,1.125450896,1.1008569,-0.018017063,-0.169099757,0.759742147,EC_11261632,6.35E-10
EMT-Serie2-1-C3,J15,2,0.483885301,-0.122748848,0.906346818,0.378053664,-0.983287309,EC_11261632,3.23E-05
EMT-Serie2-1-C3,J16,2,0.651525846,-0.062124808,0.864553391,0.584301161,0.12844279,EC_11261632,9.68E-06
EMT-Serie2-1-C3,J17,2,0.709215861,0.488529015,0.411227588,0.376051262,0.299651819,EC_11261632,2.90E-06
EMT-Serie2-1-C3,J18,2,0.954679263,1.045488389,0.131775197,0.162995595,0.713218874,EC_11261632,8.71E-07
EMT-Serie2-1-C3,J19,2,1.048338167,0.827016148,0.195355229,0.227873448,0.770032417,EC_11261632,2.61E-07
EMT-Serie2-1-C3,J20,2,0.919403104,0.518009214,0.046861543,0.085302363,0.630976108,EC_11261632,7.84E-08
EMT-Serie2-1-C3,J21,2,1.051745647,1.659523477,0.044712662,0.058470164,0.813158843,EC_11261632,2.35E-08
EMT-Serie2-1-C3,J22,2,0.944194708,0.761261576,-0.015853065,-0.044453344,0.983911634,EC_11261632,7.06E-09
