PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 6_B10,4179_Plaque cell 6_20122017_1142,B10,,0.759074,0.171676,1944,102.048,0.282576,Plaque cell 6,EC_11191643,7.84E-08
Plaque cell 6_B11,4179_Plaque cell 6_20122017_1142,B11,,0.757277,0.115273,1816,106.86,0.272451,Plaque cell 6,EC_11191643,2.35E-08
Plaque cell 6_B12,4179_Plaque cell 6_20122017_1142,B12,,0.76735,0.103734,1759,105.191,0.314358,Plaque cell 6,EC_11191643,7.06E-09
Plaque cell 6_B13,4179_Plaque cell 6_20122017_1142,B13,,0.759239,0.0968113,1783,106.665,0.352079,Plaque cell 6,EC_11191643,2.12E-09
Plaque cell 6_B14,4179_Plaque cell 6_20122017_1142,B14,,0.77469,0.0825842,1656,102.443,0.318756,Plaque cell 6,EC_11191643,6.35E-10
Plaque cell 1_C15,4174_Plaque cell 1_20122017_0936,C15,,0.722003,0.0552661,290,269.879,0.0747886,Plaque cell 1,EC_11191782,3.23E-05
Plaque cell 1_C16,4174_Plaque cell 1_20122017_0936,C16,,0.732573,0.140686,1630,112.599,0.29329,Plaque cell 1,EC_11191782,9.68E-06
Plaque cell 1_C17,4174_Plaque cell 1_20122017_0936,C17,,0.725566,0.198275,1983,105.014,0.20743,Plaque cell 1,EC_11191782,2.90E-06
Plaque cell 1_C18,4174_Plaque cell 1_20122017_0936,C18,,0.745619,0.107308,2100,101.807,0.293292,Plaque cell 1,EC_11191782,8.71E-07
Plaque cell 1_C19,4174_Plaque cell 1_20122017_0936,C19,,0.760667,0.137471,1883,103.782,0.299701,Plaque cell 1,EC_11191782,2.61E-07
Plaque cell 1_C20,4174_Plaque cell 1_20122017_0936,C20,,0.75623,0.115205,1747,108.296,0.323723,Plaque cell 1,EC_11191782,7.84E-08
Plaque cell 1_C21,4174_Plaque cell 1_20122017_0936,C21,,0.777413,0.0719475,1574,104.161,0.331198,Plaque cell 1,EC_11191782,2.35E-08
Plaque cell 1_C22,4174_Plaque cell 1_20122017_0936,C22,,0.755604,0.120468,1841,105.847,0.286912,Plaque cell 1,EC_11191782,7.06E-09
Plaque cell 1_C23,4174_Plaque cell 1_20122017_0936,C23,,0.730963,0.176441,1655,107.145,0.182128,Plaque cell 1,EC_11191782,2.12E-09
Plaque cell 1_C24,4174_Plaque cell 1_20122017_0936,C24,,0.730445,0.12168,1537,111.783,0.196536,Plaque cell 1,EC_11191782,6.35E-10
Plaque cell 2_C15,4175_Plaque cell 2_20122017_1001,C15,,0.709904,0.0463723,305,339.701,0.049039,Plaque cell 2,EC_11191782,3.23E-05
Plaque cell 2_C16,4175_Plaque cell 2_20122017_1001,C16,,0.720144,0.109357,1711,122.803,0.220517,Plaque cell 2,EC_11191782,9.68E-06
Plaque cell 2_C17,4175_Plaque cell 2_20122017_1001,C17,,0.75367,0.0928807,1621,107.524,0.244787,Plaque cell 2,EC_11191782,2.90E-06
Plaque cell 2_C18,4175_Plaque cell 2_20122017_1001,C18,,0.754267,0.0970906,1907,109.243,0.284513,Plaque cell 2,EC_11191782,8.71E-07
Plaque cell 2_C19,4175_Plaque cell 2_20122017_1001,C19,,0.767932,0.087974,1638,105.163,0.281542,Plaque cell 2,EC_11191782,2.61E-07
Plaque cell 2_C20,4175_Plaque cell 2_20122017_1001,C20,,0.755726,0.0784348,1867,104.83,0.290207,Plaque cell 2,EC_11191782,7.84E-08
Plaque cell 2_C21,4175_Plaque cell 2_20122017_1001,C21,,0.757828,0.172393,1960,99.8765,0.235675,Plaque cell 2,EC_11191782,2.35E-08
Plaque cell 2_C22,4175_Plaque cell 2_20122017_1001,C22,,0.74993,0.0991514,1557,108.411,0.216173,Plaque cell 2,EC_11191782,7.06E-09
Plaque cell 2_C23,4175_Plaque cell 2_20122017_1001,C23,,0.752456,0.0830177,1446,106.659,0.215363,Plaque cell 2,EC_11191782,2.12E-09
Plaque cell 2_C24,4175_Plaque cell 2_20122017_1001,C24,,0.748014,0.066037,1329,112.285,0.229248,Plaque cell 2,EC_11191782,6.35E-10
Plaque cell 3_C15,4176_Plaque cell 3_20122017_1026,C15,,0.734672,0.00994153,187,274.276,0.0594599,Plaque cell 3,EC_11191782,3.23E-05
Plaque cell 3_C16,4176_Plaque cell 3_20122017_1026,C16,,0.739569,0.116089,1461,113.808,0.265897,Plaque cell 3,EC_11191782,9.68E-06
Plaque cell 3_C17,4176_Plaque cell 3_20122017_1026,C17,,0.748187,0.162518,1702,109.676,0.175016,Plaque cell 3,EC_11191782,2.90E-06
Plaque cell 3_C18,4176_Plaque cell 3_20122017_1026,C18,,0.76983,0.102718,1848,103.046,0.307132,Plaque cell 3,EC_11191782,8.71E-07
Plaque cell 3_C19,4176_Plaque cell 3_20122017_1026,C19,,0.767869,0.0962039,1643,105.556,0.294658,Plaque cell 3,EC_11191782,2.61E-07
Plaque cell 3_C20,4176_Plaque cell 3_20122017_1026,C20,,0.768714,0.0951325,1734,104.728,0.250902,Plaque cell 3,EC_11191782,7.84E-08
Plaque cell 3_C21,4176_Plaque cell 3_20122017_1026,C21,,0.778632,0.0883049,1766,104.037,0.371136,Plaque cell 3,EC_11191782,2.35E-08
Plaque cell 3_C22,4176_Plaque cell 3_20122017_1026,C22,,0.755079,0.105502,1668,105.842,0.209756,Plaque cell 3,EC_11191782,7.06E-09
Plaque cell 3_C23,4176_Plaque cell 3_20122017_1026,C23,,0.746688,0.0879144,1477,109.25,0.24374,Plaque cell 3,EC_11191782,2.12E-09
Plaque cell 3_C24,4176_Plaque cell 3_20122017_1026,C24,,0.73976,0.086336,1302,112.536,0.287937,Plaque cell 3,EC_11191782,6.35E-10
Plaque cell 7_I05,4180_Plaque cell 7_20122017_1207,I05,,0.670373,0.0502534,2530,71.755,0.00160908,Plaque cell 7,EC_11191889,3.23E-05
Plaque cell 7_I06,4180_Plaque cell 7_20122017_1207,I06,,0.676133,0.0822484,2961,92.8899,0.22934,Plaque cell 7,EC_11191889,9.68E-06
Plaque cell 7_I07,4180_Plaque cell 7_20122017_1207,I07,,0.732119,0.128701,1981,102.127,0.325761,Plaque cell 7,EC_11191889,2.90E-06
Plaque cell 7_I08,4180_Plaque cell 7_20122017_1207,I08,,0.735779,0.13043,2188,102.845,0.339223,Plaque cell 7,EC_11191889,8.71E-07
Plaque cell 7_I09,4180_Plaque cell 7_20122017_1207,I09,,0.75832,0.0740487,1927,101.198,0.343155,Plaque cell 7,EC_11191889,2.61E-07
Plaque cell 7_I10,4180_Plaque cell 7_20122017_1207,I10,,0.761777,0.0924862,1920,101.126,0.299874,Plaque cell 7,EC_11191889,7.84E-08
Plaque cell 7_I11,4180_Plaque cell 7_20122017_1207,I11,,0.778432,0.0837938,1814,98.2511,0.332603,Plaque cell 7,EC_11191889,2.35E-08
Plaque cell 7_I12,4180_Plaque cell 7_20122017_1207,I12,,0.762912,0.144159,2242,100.243,0.376187,Plaque cell 7,EC_11191889,7.06E-09
Plaque cell 7_I13,4180_Plaque cell 7_20122017_1207,I13,,0.751634,0.182481,2198,101.619,0.354895,Plaque cell 7,EC_11191889,2.12E-09
Plaque cell 7_I14,4180_Plaque cell 7_20122017_1207,I14,,0.755496,0.215553,2274,105.871,0.410256,Plaque cell 7,EC_11191889,6.35E-10
Plaque cell 8_I05,4181_Plaque cell 8_20122017_1232,I05,,0.663149,0.0655791,2511,77.8278,0.0153211,Plaque cell 8,EC_11191889,3.23E-05
Plaque cell 8_I06,4181_Plaque cell 8_20122017_1232,I06,,0.685691,0.0659806,2560,93.9924,0.141435,Plaque cell 8,EC_11191889,9.68E-06
Plaque cell 8_I07,4181_Plaque cell 8_20122017_1232,I07,,0.733587,0.155461,2028,99.9657,0.290697,Plaque cell 8,EC_11191889,2.90E-06
Plaque cell 8_I08,4181_Plaque cell 8_20122017_1232,I08,,0.73537,0.22106,2396,106.372,0.323545,Plaque cell 8,EC_11191889,8.71E-07
Plaque cell 8_I09,4181_Plaque cell 8_20122017_1232,I09,,0.769233,0.0977174,1858,99.8303,0.312917,Plaque cell 8,EC_11191889,2.61E-07
Plaque cell 8_I10,4181_Plaque cell 8_20122017_1232,I10,,0.76932,0.138803,2131,102.294,0.301395,Plaque cell 8,EC_11191889,7.84E-08
Plaque cell 8_I11,4181_Plaque cell 8_20122017_1232,I11,,0.763129,0.118704,1931,99.2043,0.269048,Plaque cell 8,EC_11191889,2.35E-08
Plaque cell 8_I12,4181_Plaque cell 8_20122017_1232,I12,,0.769271,0.140106,2002,102.659,0.379114,Plaque cell 8,EC_11191889,7.06E-09
Plaque cell 8_I13,4181_Plaque cell 8_20122017_1232,I13,,0.790167,0.107872,1921,97.9341,0.357921,Plaque cell 8,EC_11191889,2.12E-09
Plaque cell 8_I14,4181_Plaque cell 8_20122017_1232,I14,,0.752088,0.148396,2022,105.184,0.305146,Plaque cell 8,EC_11191889,6.35E-10
Plaque cell 9_I05,4182_Plaque cell 9_20122017_1257,I05,,0.661149,0.0653383,2610,73.6523,0.00156735,Plaque cell 9,EC_11191889,3.23E-05
Plaque cell 9_I06,4182_Plaque cell 9_20122017_1257,I06,,0.672931,0.113751,3103,96.8651,0.192116,Plaque cell 9,EC_11191889,9.68E-06
Plaque cell 9_I07,4182_Plaque cell 9_20122017_1257,I07,,0.72411,0.188714,2334,100.457,0.263517,Plaque cell 9,EC_11191889,2.90E-06
Plaque cell 9_I08,4182_Plaque cell 9_20122017_1257,I08,,0.738545,0.143045,2171,105.02,0.289804,Plaque cell 9,EC_11191889,8.71E-07
Plaque cell 9_I09,4182_Plaque cell 9_20122017_1257,I09,,0.749796,0.125105,1951,102.36,0.306014,Plaque cell 9,EC_11191889,2.61E-07
Plaque cell 9_I10,4182_Plaque cell 9_20122017_1257,I10,,0.769801,0.131206,2032,104.625,0.415859,Plaque cell 9,EC_11191889,7.84E-08
Plaque cell 9_I11,4182_Plaque cell 9_20122017_1257,I11,,0.75635,0.136402,2037,100.837,0.262795,Plaque cell 9,EC_11191889,2.35E-08
Plaque cell 9_I12,4182_Plaque cell 9_20122017_1257,I12,,0.750151,0.11465,2031,102.381,0.290641,Plaque cell 9,EC_11191889,7.06E-09
Plaque cell 9_I13,4182_Plaque cell 9_20122017_1257,I13,,0.758193,0.207303,2284,99.0313,0.275938,Plaque cell 9,EC_11191889,2.12E-09
Plaque cell 9_I14,4182_Plaque cell 9_20122017_1257,I14,,0.751476,0.170012,1894,106.811,0.26426,Plaque cell 9,EC_11191889,6.35E-10
Plaque cell 7_M05,4180_Plaque cell 7_20122017_1207,M05,,0.668726,0.0864896,327,189.316,0.00588237,Plaque cell 7,EC_11192049,3.23E-05
Plaque cell 7_M06,4180_Plaque cell 7_20122017_1207,M06,,0.692197,0.499695,3304,94.283,0.254481,Plaque cell 7,EC_11192049,9.68E-06
Plaque cell 7_M07,4180_Plaque cell 7_20122017_1207,M07,,0.704667,0.177752,2751,98.4333,0.225823,Plaque cell 7,EC_11192049,2.90E-06
Plaque cell 7_M08,4180_Plaque cell 7_20122017_1207,M08,,0.739061,0.182311,2343,103.03,0.284551,Plaque cell 7,EC_11192049,8.71E-07
Plaque cell 7_M09,4180_Plaque cell 7_20122017_1207,M09,,0.763861,0.177359,2104,100.075,0.343563,Plaque cell 7,EC_11192049,2.61E-07
Plaque cell 7_M10,4180_Plaque cell 7_20122017_1207,M10,,0.751863,0.265461,2618,98.3548,0.284576,Plaque cell 7,EC_11192049,7.84E-08
Plaque cell 7_M11,4180_Plaque cell 7_20122017_1207,M11,,0.762024,0.115524,1976,102.094,0.321025,Plaque cell 7,EC_11192049,2.35E-08
Plaque cell 7_M12,4180_Plaque cell 7_20122017_1207,M12,,0.766152,0.103597,2141,101.571,0.391389,Plaque cell 7,EC_11192049,7.06E-09
Plaque cell 7_M13,4180_Plaque cell 7_20122017_1207,M13,,0.76239,0.0951575,1962,101.352,0.325225,Plaque cell 7,EC_11192049,2.12E-09
Plaque cell 7_M14,4180_Plaque cell 7_20122017_1207,M14,,0.748817,0.163514,2210,103.079,0.340473,Plaque cell 7,EC_11192049,6.35E-10
Plaque cell 8_M05,4181_Plaque cell 8_20122017_1232,M05,,0.699581,0.143129,179,178.791,0.00666667,Plaque cell 8,EC_11192049,3.23E-05
Plaque cell 8_M06,4181_Plaque cell 8_20122017_1232,M06,,0.690134,0.595131,3126,92.4822,0.15554,Plaque cell 8,EC_11192049,9.68E-06
Plaque cell 8_M07,4181_Plaque cell 8_20122017_1232,M07,,0.709806,0.207717,2856,95.6489,0.197535,Plaque cell 8,EC_11192049,2.90E-06
Plaque cell 8_M08,4181_Plaque cell 8_20122017_1232,M08,,0.741298,0.144457,2260,100.981,0.23215,Plaque cell 8,EC_11192049,8.71E-07
Plaque cell 8_M09,4181_Plaque cell 8_20122017_1232,M09,,0.772666,0.087953,1798,95.5283,0.301311,Plaque cell 8,EC_11192049,2.61E-07
Plaque cell 8_M10,4181_Plaque cell 8_20122017_1232,M10,,0.778628,0.141217,1767,105.39,0.333488,Plaque cell 8,EC_11192049,7.84E-08
Plaque cell 8_M11,4181_Plaque cell 8_20122017_1232,M11,,0.767543,0.106311,1879,101.727,0.316504,Plaque cell 8,EC_11192049,2.35E-08
Plaque cell 8_M12,4181_Plaque cell 8_20122017_1232,M12,,0.782994,0.10872,1997,100.954,0.371809,Plaque cell 8,EC_11192049,7.06E-09
Plaque cell 8_M13,4181_Plaque cell 8_20122017_1232,M13,,0.767408,0.174556,2236,99.5111,0.291947,Plaque cell 8,EC_11192049,2.12E-09
Plaque cell 8_M14,4181_Plaque cell 8_20122017_1232,M14,,0.771577,0.145433,1935,105.422,0.314717,Plaque cell 8,EC_11192049,6.35E-10
Plaque cell 9_M05,4182_Plaque cell 9_20122017_1257,M05,,0.707768,0.246285,323,206.639,0.00347223,Plaque cell 9,EC_11192049,3.23E-05
Plaque cell 9_M06,4182_Plaque cell 9_20122017_1257,M06,,0.692767,0.610921,3364,94.4198,0.203855,Plaque cell 9,EC_11192049,9.68E-06
Plaque cell 9_M07,4182_Plaque cell 9_20122017_1257,M07,,0.710031,0.199105,2647,93.9325,0.226705,Plaque cell 9,EC_11192049,2.90E-06
Plaque cell 9_M08,4182_Plaque cell 9_20122017_1257,M08,,0.739806,0.128857,2190,105.138,0.261256,Plaque cell 9,EC_11192049,8.71E-07
Plaque cell 9_M09,4182_Plaque cell 9_20122017_1257,M09,,0.751197,0.168566,2118,100.41,0.354157,Plaque cell 9,EC_11192049,2.61E-07
Plaque cell 9_M10,4182_Plaque cell 9_20122017_1257,M10,,0.764105,0.134019,1789,101.652,0.297896,Plaque cell 9,EC_11192049,7.84E-08
Plaque cell 9_M11,4182_Plaque cell 9_20122017_1257,M11,,0.752764,0.12377,1962,102.847,0.244097,Plaque cell 9,EC_11192049,2.35E-08
Plaque cell 9_M12,4182_Plaque cell 9_20122017_1257,M12,,0.762743,0.132966,1829,107.847,0.34547,Plaque cell 9,EC_11192049,7.06E-09
Plaque cell 9_M13,4182_Plaque cell 9_20122017_1257,M13,,0.740945,0.283945,2373,102.253,0.242191,Plaque cell 9,EC_11192049,2.12E-09
Plaque cell 9_M14,4182_Plaque cell 9_20122017_1257,M14,,0.763984,0.133674,1866,107.435,0.288003,Plaque cell 9,EC_11192049,6.35E-10
Plaque cell 7_G05,4180_Plaque cell 7_20122017_1207,G05,,0.626762,0.0081603,663,113.136,0.0432733,Plaque cell 7,EC_11192156,3.23E-05
Plaque cell 7_G06,4180_Plaque cell 7_20122017_1207,G06,,0.695623,0.192122,2404,103.558,0.220117,Plaque cell 7,EC_11192156,9.68E-06
Plaque cell 7_G07,4180_Plaque cell 7_20122017_1207,G07,,0.750284,0.130543,1820,102.436,0.353576,Plaque cell 7,EC_11192156,2.90E-06
Plaque cell 7_G08,4180_Plaque cell 7_20122017_1207,G08,,0.747352,0.150289,2071,102.645,0.314218,Plaque cell 7,EC_11192156,8.71E-07
Plaque cell 7_G09,4180_Plaque cell 7_20122017_1207,G09,,0.751098,0.109043,2025,103.173,0.363944,Plaque cell 7,EC_11192156,2.61E-07
Plaque cell 7_G10,4180_Plaque cell 7_20122017_1207,G10,,0.758938,0.108421,1999,100.449,0.321357,Plaque cell 7,EC_11192156,7.84E-08
Plaque cell 7_G11,4180_Plaque cell 7_20122017_1207,G11,,0.768974,0.0792121,1901,100.437,0.351059,Plaque cell 7,EC_11192156,2.35E-08
Plaque cell 7_G12,4180_Plaque cell 7_20122017_1207,G12,,0.752658,0.0995058,2007,104.463,0.281119,Plaque cell 7,EC_11192156,7.06E-09
Plaque cell 7_G13,4180_Plaque cell 7_20122017_1207,G13,,0.754824,0.14485,2172,100.706,0.361424,Plaque cell 7,EC_11192156,2.12E-09
Plaque cell 7_G14,4180_Plaque cell 7_20122017_1207,G14,,0.74758,0.218485,2574,98.9249,0.276402,Plaque cell 7,EC_11192156,6.35E-10
Plaque cell 8_G05,4181_Plaque cell 8_20122017_1232,G05,,0.633169,0.105648,360,109.171,0.0149387,Plaque cell 8,EC_11192156,3.23E-05
Plaque cell 8_G06,4181_Plaque cell 8_20122017_1232,G06,,0.721621,0.173448,2030,99.9766,0.20518,Plaque cell 8,EC_11192156,9.68E-06
Plaque cell 8_G07,4181_Plaque cell 8_20122017_1232,G07,,0.735551,0.231142,2172,98.7226,0.224365,Plaque cell 8,EC_11192156,2.90E-06
Plaque cell 8_G08,4181_Plaque cell 8_20122017_1232,G08,,0.786304,0.118357,1865,99.5858,0.321821,Plaque cell 8,EC_11192156,8.71E-07
Plaque cell 8_G09,4181_Plaque cell 8_20122017_1232,G09,,0.782833,0.0989506,1978,98.407,0.351723,Plaque cell 8,EC_11192156,2.61E-07
Plaque cell 8_G10,4181_Plaque cell 8_20122017_1232,G10,,0.772411,0.153523,2008,102.905,0.312267,Plaque cell 8,EC_11192156,7.84E-08
Plaque cell 8_G11,4181_Plaque cell 8_20122017_1232,G11,,0.76702,0.104316,1918,99.9189,0.289133,Plaque cell 8,EC_11192156,2.35E-08
Plaque cell 8_G12,4181_Plaque cell 8_20122017_1232,G12,,0.765006,0.138088,2101,103.411,0.30528,Plaque cell 8,EC_11192156,7.06E-09
Plaque cell 8_G13,4181_Plaque cell 8_20122017_1232,G13,,0.751463,0.230028,2180,99.4722,0.237467,Plaque cell 8,EC_11192156,2.12E-09
Plaque cell 8_G14,4181_Plaque cell 8_20122017_1232,G14,,0.763296,0.191687,2085,104.211,0.302872,Plaque cell 8,EC_11192156,6.35E-10
Plaque cell 9_G05,4182_Plaque cell 9_20122017_1257,G05,,0.605058,0.116576,764,113.912,0.0393132,Plaque cell 9,EC_11192156,3.23E-05
Plaque cell 9_G06,4182_Plaque cell 9_20122017_1257,G06,,0.71826,0.271131,2215,103.913,0.245271,Plaque cell 9,EC_11192156,9.68E-06
Plaque cell 9_G07,4182_Plaque cell 9_20122017_1257,G07,,0.738756,0.127397,1971,106.819,0.285478,Plaque cell 9,EC_11192156,2.90E-06
Plaque cell 9_G08,4182_Plaque cell 9_20122017_1257,G08,,0.749715,0.183007,2078,105.004,0.285072,Plaque cell 9,EC_11192156,8.71E-07
Plaque cell 9_G09,4182_Plaque cell 9_20122017_1257,G09,,0.754642,0.1222,2081,100.975,0.295379,Plaque cell 9,EC_11192156,2.61E-07
Plaque cell 9_G10,4182_Plaque cell 9_20122017_1257,G10,,0.754871,0.176408,2086,104.362,0.275714,Plaque cell 9,EC_11192156,7.84E-08
Plaque cell 9_G11,4182_Plaque cell 9_20122017_1257,G11,,0.751583,0.172183,2241,103.313,0.288697,Plaque cell 9,EC_11192156,2.35E-08
Plaque cell 9_G12,4182_Plaque cell 9_20122017_1257,G12,,0.751785,0.165967,2046,108.595,0.267949,Plaque cell 9,EC_11192156,7.06E-09
Plaque cell 9_G13,4182_Plaque cell 9_20122017_1257,G13,,0.774969,0.116696,1784,102.038,0.332575,Plaque cell 9,EC_11192156,2.12E-09
Plaque cell 9_G14,4182_Plaque cell 9_20122017_1257,G14,,0.748162,0.17847,2289,101.723,0.308213,Plaque cell 9,EC_11192156,6.35E-10
Plaque cell 1_L05,4174_Plaque cell 1_20122017_0936,L05,,0.771665,0.0796459,1728,102.872,0.27699,Plaque cell 1,EC_11192169,3.23E-05
Plaque cell 1_L06,4174_Plaque cell 1_20122017_0936,L06,,0.752234,0.157876,1945,107.392,0.332917,Plaque cell 1,EC_11192169,9.68E-06
Plaque cell 1_L07,4174_Plaque cell 1_20122017_0936,L07,,0.791055,0.0967152,1906,102.231,0.369689,Plaque cell 1,EC_11192169,2.90E-06
Plaque cell 1_L08,4174_Plaque cell 1_20122017_0936,L08,,0.758388,0.12565,2060,106.056,0.328588,Plaque cell 1,EC_11192169,8.71E-07
Plaque cell 1_L09,4174_Plaque cell 1_20122017_0936,L09,,0.722806,0.331914,2379,118.656,0.297872,Plaque cell 1,EC_11192169,2.61E-07
Plaque cell 1_L10,4174_Plaque cell 1_20122017_0936,L10,,0.763558,0.11383,1952,107.822,0.368107,Plaque cell 1,EC_11192169,7.84E-08
Plaque cell 1_L11,4174_Plaque cell 1_20122017_0936,L11,,0.751136,0.130349,1969,106.182,0.313595,Plaque cell 1,EC_11192169,2.35E-08
Plaque cell 1_L12,4174_Plaque cell 1_20122017_0936,L12,,0.762593,0.108963,1883,105.7,0.333299,Plaque cell 1,EC_11192169,7.06E-09
Plaque cell 1_L13,4174_Plaque cell 1_20122017_0936,L13,,0.775984,0.092338,1992,104.766,0.437689,Plaque cell 1,EC_11192169,2.12E-09
Plaque cell 1_L14,4174_Plaque cell 1_20122017_0936,L14,,0.758486,0.133819,2005,109.411,0.429363,Plaque cell 1,EC_11192169,6.35E-10
Plaque cell 2_L05,4175_Plaque cell 2_20122017_1001,L05,,0.761493,0.123657,1743,101.012,0.30537,Plaque cell 2,EC_11192169,3.23E-05
Plaque cell 2_L06,4175_Plaque cell 2_20122017_1001,L06,,0.769147,0.0900001,1797,107.337,0.362871,Plaque cell 2,EC_11192169,9.68E-06
Plaque cell 2_L07,4175_Plaque cell 2_20122017_1001,L07,,0.782459,0.0618786,1701,104.06,0.362943,Plaque cell 2,EC_11192169,2.90E-06
Plaque cell 2_L08,4175_Plaque cell 2_20122017_1001,L08,,0.767903,0.0874703,1861,104.687,0.299002,Plaque cell 2,EC_11192169,8.71E-07
Plaque cell 2_L09,4175_Plaque cell 2_20122017_1001,L09,,0.790662,0.0644128,1718,101.69,0.337425,Plaque cell 2,EC_11192169,2.61E-07
Plaque cell 2_L10,4175_Plaque cell 2_20122017_1001,L10,,0.775411,0.0909986,1692,103.669,0.32152,Plaque cell 2,EC_11192169,7.84E-08
Plaque cell 2_L11,4175_Plaque cell 2_20122017_1001,L11,,0.772475,0.0799827,1914,105.585,0.386089,Plaque cell 2,EC_11192169,2.35E-08
Plaque cell 2_L12,4175_Plaque cell 2_20122017_1001,L12,,0.749186,0.133217,1976,107.716,0.281431,Plaque cell 2,EC_11192169,7.06E-09
Plaque cell 2_L13,4175_Plaque cell 2_20122017_1001,L13,,0.759662,0.0981532,1933,106.856,0.332987,Plaque cell 2,EC_11192169,2.12E-09
Plaque cell 2_L14,4175_Plaque cell 2_20122017_1001,L14,,0.773367,0.161637,1937,104.911,0.382051,Plaque cell 2,EC_11192169,6.35E-10
Plaque cell 3_L05,4176_Plaque cell 3_20122017_1026,L05,,0.764649,0.114757,1700,105.835,0.269036,Plaque cell 3,EC_11192169,3.23E-05
Plaque cell 3_L06,4176_Plaque cell 3_20122017_1026,L06,,0.77911,0.0818825,1782,102.383,0.351051,Plaque cell 3,EC_11192169,9.68E-06
Plaque cell 3_L07,4176_Plaque cell 3_20122017_1026,L07,,0.77585,0.0965577,1788,103.021,0.309961,Plaque cell 3,EC_11192169,2.90E-06
Plaque cell 3_L08,4176_Plaque cell 3_20122017_1026,L08,,0.791468,0.100599,1984,101.442,0.405421,Plaque cell 3,EC_11192169,8.71E-07
Plaque cell 3_L09,4176_Plaque cell 3_20122017_1026,L09,,0.757451,0.187884,2090,102.648,0.330843,Plaque cell 3,EC_11192169,2.61E-07
Plaque cell 3_L10,4176_Plaque cell 3_20122017_1026,L10,,0.765837,0.103351,2002,105.156,0.320335,Plaque cell 3,EC_11192169,7.84E-08
Plaque cell 3_L11,4176_Plaque cell 3_20122017_1026,L11,,0.766276,0.123184,1993,100.612,0.351007,Plaque cell 3,EC_11192169,2.35E-08
Plaque cell 3_L12,4176_Plaque cell 3_20122017_1026,L12,,0.785437,0.0752302,1948,100.994,0.329467,Plaque cell 3,EC_11192169,7.06E-09
Plaque cell 3_L13,4176_Plaque cell 3_20122017_1026,L13,,0.778397,0.103068,1872,100.718,0.390444,Plaque cell 3,EC_11192169,2.12E-09
Plaque cell 3_L14,4176_Plaque cell 3_20122017_1026,L14,,0.764763,0.178278,2327,99.8688,0.279178,Plaque cell 3,EC_11192169,6.35E-10
Plaque cell 7_H15,4180_Plaque cell 7_20122017_1207,H15,,0.743708,0.0819527,1705,99.1647,0.331703,Plaque cell 7,EC_11192350,3.23E-05
Plaque cell 7_H16,4180_Plaque cell 7_20122017_1207,H16,,0.769328,0.138675,1763,101.207,0.293754,Plaque cell 7,EC_11192350,9.68E-06
Plaque cell 7_H17,4180_Plaque cell 7_20122017_1207,H17,,0.754779,0.117933,1992,103.329,0.320636,Plaque cell 7,EC_11192350,2.90E-06
Plaque cell 7_H18,4180_Plaque cell 7_20122017_1207,H18,,0.766196,0.079852,1814,100.95,0.298866,Plaque cell 7,EC_11192350,8.71E-07
Plaque cell 7_H19,4180_Plaque cell 7_20122017_1207,H19,,0.748833,0.253078,2607,100.865,0.259799,Plaque cell 7,EC_11192350,2.61E-07
Plaque cell 7_H20,4180_Plaque cell 7_20122017_1207,H20,,0.765173,0.0999332,1850,100.694,0.305214,Plaque cell 7,EC_11192350,7.84E-08
Plaque cell 7_H21,4180_Plaque cell 7_20122017_1207,H21,,0.741767,0.116234,2032,105.224,0.274403,Plaque cell 7,EC_11192350,2.35E-08
Plaque cell 7_H22,4180_Plaque cell 7_20122017_1207,H22,,0.773903,0.0675945,1679,100.28,0.258196,Plaque cell 7,EC_11192350,7.06E-09
Plaque cell 7_H23,4180_Plaque cell 7_20122017_1207,H23,,0.74423,0.0781734,1954,106.094,0.251046,Plaque cell 7,EC_11192350,2.12E-09
Plaque cell 7_H24,4180_Plaque cell 7_20122017_1207,H24,,0.727515,0.132573,1612,111.615,0.198602,Plaque cell 7,EC_11192350,6.35E-10
Plaque cell 8_H15,4181_Plaque cell 8_20122017_1232,H15,,0.738348,0.0749778,1566,99.1901,0.242271,Plaque cell 8,EC_11192350,3.23E-05
Plaque cell 8_H16,4181_Plaque cell 8_20122017_1232,H16,,0.769611,0.0987646,1678,97.5733,0.302003,Plaque cell 8,EC_11192350,9.68E-06
Plaque cell 8_H17,4181_Plaque cell 8_20122017_1232,H17,,0.778931,0.0849105,1915,96.3715,0.277353,Plaque cell 8,EC_11192350,2.90E-06
Plaque cell 8_H18,4181_Plaque cell 8_20122017_1232,H18,,0.770929,0.0944752,1783,100.932,0.320706,Plaque cell 8,EC_11192350,8.71E-07
Plaque cell 8_H19,4181_Plaque cell 8_20122017_1232,H19,,0.77511,0.112266,1859,99.3993,0.365084,Plaque cell 8,EC_11192350,2.61E-07
Plaque cell 8_H20,4181_Plaque cell 8_20122017_1232,H20,,0.776667,0.0662012,1688,97.4628,0.243729,Plaque cell 8,EC_11192350,7.84E-08
Plaque cell 8_H21,4181_Plaque cell 8_20122017_1232,H21,,0.77237,0.101169,1980,99.7836,0.304763,Plaque cell 8,EC_11192350,2.35E-08
Plaque cell 8_H22,4181_Plaque cell 8_20122017_1232,H22,,0.777899,0.0633282,1452,102.982,0.263576,Plaque cell 8,EC_11192350,7.06E-09
