PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 4_N22,4177_Plaque cell 4_20122017_1052,N22,,0.752825,0.0887664,1700,106.681,0.287737,Plaque cell 4,EC_11188360,7.06E-09
Plaque cell 4_N23,4177_Plaque cell 4_20122017_1052,N23,,0.769381,0.114392,1600,108.719,0.329245,Plaque cell 4,EC_11188360,2.12E-09
Plaque cell 4_N24,4177_Plaque cell 4_20122017_1052,N24,,0.748455,0.0793106,1415,111.685,0.248818,Plaque cell 4,EC_11188360,6.35E-10
Plaque cell 5_N15,4178_Plaque cell 5_20122017_1117,N15,,0.691879,0.540095,2696,99.6917,0.338459,Plaque cell 5,EC_11188360,3.23E-05
Plaque cell 5_N16,4178_Plaque cell 5_20122017_1117,N16,,0.745085,0.152473,2010,104.883,0.355188,Plaque cell 5,EC_11188360,9.68E-06
Plaque cell 5_N17,4178_Plaque cell 5_20122017_1117,N17,,0.745566,0.128149,1946,107.376,0.31417,Plaque cell 5,EC_11188360,2.90E-06
Plaque cell 5_N18,4178_Plaque cell 5_20122017_1117,N18,,0.768296,0.0985147,1772,103.719,0.288828,Plaque cell 5,EC_11188360,8.71E-07
Plaque cell 5_N19,4178_Plaque cell 5_20122017_1117,N19,,0.767434,0.102413,1734,107.376,0.334603,Plaque cell 5,EC_11188360,2.61E-07
Plaque cell 5_N20,4178_Plaque cell 5_20122017_1117,N20,,0.747243,0.319251,2555,102.117,0.246127,Plaque cell 5,EC_11188360,7.84E-08
Plaque cell 5_N21,4178_Plaque cell 5_20122017_1117,N21,,0.764655,0.101244,1843,104.886,0.288812,Plaque cell 5,EC_11188360,2.35E-08
Plaque cell 5_N22,4178_Plaque cell 5_20122017_1117,N22,,0.775849,0.0620427,1658,102.766,0.278016,Plaque cell 5,EC_11188360,7.06E-09
Plaque cell 5_N23,4178_Plaque cell 5_20122017_1117,N23,,0.759728,0.0776745,1572,108.109,0.303214,Plaque cell 5,EC_11188360,2.12E-09
Plaque cell 5_N24,4178_Plaque cell 5_20122017_1117,N24,,0.753984,0.0715723,1248,108.844,0.2327,Plaque cell 5,EC_11188360,6.35E-10
Plaque cell 6_N15,4179_Plaque cell 6_20122017_1142,N15,,0.690953,0.545379,2559,100.79,0.332748,Plaque cell 6,EC_11188360,3.23E-05
Plaque cell 6_N16,4179_Plaque cell 6_20122017_1142,N16,,0.744649,0.162223,1836,103.839,0.419804,Plaque cell 6,EC_11188360,9.68E-06
Plaque cell 6_N17,4179_Plaque cell 6_20122017_1142,N17,,0.748349,0.162696,1895,111.079,0.363111,Plaque cell 6,EC_11188360,2.90E-06
Plaque cell 6_N18,4179_Plaque cell 6_20122017_1142,N18,,0.773988,0.0922316,1863,104.56,0.436947,Plaque cell 6,EC_11188360,8.71E-07
Plaque cell 6_N19,4179_Plaque cell 6_20122017_1142,N19,,0.768814,0.0675627,1779,105.095,0.319234,Plaque cell 6,EC_11188360,2.61E-07
Plaque cell 6_N20,4179_Plaque cell 6_20122017_1142,N20,,0.753528,0.168702,1967,105.431,0.325815,Plaque cell 6,EC_11188360,7.84E-08
Plaque cell 6_N21,4179_Plaque cell 6_20122017_1142,N21,,0.757611,0.134011,1881,108.624,0.351915,Plaque cell 6,EC_11188360,2.35E-08
Plaque cell 6_N22,4179_Plaque cell 6_20122017_1142,N22,,0.744499,0.186117,1945,104.367,0.254697,Plaque cell 6,EC_11188360,7.06E-09
Plaque cell 6_N23,4179_Plaque cell 6_20122017_1142,N23,,0.755317,0.0784925,1613,109.408,0.332505,Plaque cell 6,EC_11188360,2.12E-09
Plaque cell 6_N24,4179_Plaque cell 6_20122017_1142,N24,,0.754962,0.0816967,1304,112.31,0.301524,Plaque cell 6,EC_11188360,6.35E-10
Plaque cell 4_L15,4177_Plaque cell 4_20122017_1052,L15,,0.68812,0.321041,3144,97.0868,0.231166,Plaque cell 4,EC_11188498,3.23E-05
