CPD_ID,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 LDA_1,Bottom LDA_1,Top LDA_1,Slope LDA_1,R2 LDA_1,Run
EC_6772302,9.54E-06,0.0326,0.108,13.2,0.183,3.01E-09,-0.13,0.0857,1.46,0.564,6.44E-10,0.84,0.958,12.9,0.0218,1.00E-05,0.796,0.956,12.4,0.493,1
X-WE60667960,1.19E-05,0.0364,0.442,2.28,0.667,8.00E-06,0.00822,0.472,1.17,0.704,7.49E-06,0.471,0.942,2.02,0.457,1.08E-05,0.342,0.949,1.96,0.832,1
EC_27082056,1.36E-07,-0.00615,0.0369,16.5,0.0676,2.13E-09,-0.152,0.0428,8.56,0.093,1.35E-05,-0.0858,0.981,5.7,0.767,3.20E-06,0.772,0.962,16.4,0.467,1
Capecitabine,1.55E-05,0.0165,0.079,8.04,0.169,1.79E-09,-0.24,0.0748,1.14,0.605,3.23E-05,0.919,1.34,0.565,0.235,6.35E-10,0.953,1.11,9.27,0.146,1
Tideglusib,3.07E-05,0.0245,0.483,11.8,0.617,9.23E-06,-0.629,0.0213,15.3,0.879,9.52E-06,0.147,0.982,14.9,0.779,8.03E-07,0.961,0.981,12.3,0.0159,1
CHIR-99021,8.59E-07,0.00956,0.158,14.4,0.376,1.94E-09,-0.153,-0.00754,9.26,0.0287,8.24E-09,0.784,0.919,11.7,0.0111,6.27E-06,0.77,0.973,1.35,0.688,1
AR-A014418,1.24E-07,-0.00389,0.0211,9.55,0.0112,2.13E-09,-0.121,-0.00303,15.8,0.0361,2.70E-06,-0.0264,0.902,2.35,0.848,1.39E-06,0.872,0.956,11,0.299,1
LRRK2-IN-1,1.60E-06,0.0461,0.556,17.3,0.932,8.48E-07,-0.622,-0.0508,13.6,0.944,6.35E-10,0.378,1.01,1.57,0.0323,1.28E-08,0.971,1.03,2.59,0.0502,1
Cytochalasin D,5.39E-08,-0.0231,0.493,1.23,0.861,2.41E-08,-0.63,-0.188,2.06,0.976,7.30E-09,0.817,0.991,15.4,0.0714,8.48E-07,0.979,1.07,9.7,0.266,1
EC_2077640,3.46E-09,-0.075,0.0764,0.245,0.481,5.22E-07,-0.0607,-0.0277,12,0.0419,7.18E-06,0.693,2.22,1.38,0.924,1.03E-05,0.951,1.21,9.23,0.681,1
EC_11177591,2.93E-05,0.00959,0.299,14.1,0.624,2.79E-05,-0.0168,0.322,16.3,0.698,3.49E-06,0.591,1.12,20.4,0.472,1.65E-05,0.574,1.01,3.36,0.889,1
EC_11265529,1.49E-05,0.0207,0.777,3.22,0.972,2.09E-05,0.0373,0.552,3.02,0.86,8.16E-06,1.08,1.17,2.03,0.0288,1.71E-05,0.331,0.98,2.58,0.907,1
EC_11193514,7.36E-07,-0.027,0.08,0.0363,0.00586,6.35E-10,-0.011,0.0682,10.8,0.0414,9.31E-08,1.14,1.22,13.1,0.0726,1.21E-06,0.959,1,1.47,0.0777,1
EC_11176778,2.75E-05,0.0333,0.232,1.17,0.293,6.35E-10,0.0594,0.0859,17.3,0.00494,1.70E-05,1.22,1.65,1.79,0.265,1.45E-06,0.973,0.979,8.59,0.00245,1
EC_11175103,3.13E-05,0.0409,0.387,11.3,0.419,2.89E-05,0.0886,0.659,8.98,0.735,1.07E-05,0.775,1.27,0.701,0.255,2.10E-05,0.416,0.986,2.48,0.739,1
EC_11187255,1.10E-06,0.0111,0.0779,0.727,0.314,2.16E-07,0.0956,0.15,1.54,0.197,1.92E-08,1.07,1.3,12.1,0.319,5.88E-06,0.776,1.01,0.309,0.495,1
EC_11190878,2.98E-06,0.0524,0.73,17.6,0.918,2.96E-06,0.102,0.725,16.2,0.924,9.86E-06,-0.0194,1.19,1.19,0.832,3.91E-06,0.0847,0.974,1.51,0.964,1
EC_11262380,1.31E-06,0.0308,0.385,3.57,0.324,9.28E-07,0.122,0.51,12.7,0.327,1.47E-05,-0.157,1.05,4.08,0.805,1.56E-06,0.366,0.937,2.28,0.794,1
EC_11262326,4.65E-06,-0.0786,0.0234,0.595,0.271,1.16E-05,-0.603,0.0726,3.06,0.957,9.67E-06,0.311,1.14,4.72,0.771,7.42E-07,0.974,1.03,11.4,0.389,1
