Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4180_Plaque cell 7_20122017_1207,H12,7.06E-09,EC_11258179,2,1.052635028,0.038894006,0.08681073,1.039372392,1.232537886,0.999576066
4180_Plaque cell 7_20122017_1207,I12,7.06E-09,EC_11191889,2,0.922869238,0.064710353,0.185543964,0.86025739,1.257080557,0.940046187
4180_Plaque cell 7_20122017_1207,J12,7.06E-09,EC_11189708,2,0.828267736,0.020763724,0.069672131,1.176529353,1.102946441,0.968223288
4180_Plaque cell 7_20122017_1207,K12,7.06E-09,EC_11187457,2,1.097707703,0.053470516,0.115499255,0.702861844,1.223150564,0.985398212
4180_Plaque cell 7_20122017_1207,L12,7.06E-09,EC_11188314,2,1.046291563,0.016836196,0.078614009,1.079214903,1.253493387,1.013139114
4180_Plaque cell 7_20122017_1207,M12,7.06E-09,EC_11192049,2,0.965333753,0.014676301,0.147913562,1.016336605,1.31134142,0.986074901
4180_Plaque cell 7_20122017_1207,N12,7.06E-09,EC_11190627,2,0.980550204,-0.004930134,0.009314456,1.200740436,0.907857902,0.989741264
4180_Plaque cell 7_20122017_1207,O12,7.06E-09,EC_11187486,2,0.984757336,0.011919384,0.047317437,0.857906799,0.979380016,0.978266447
4180_Plaque cell 7_20122017_1207,P12,7.06E-09,EC_11188204,2,0.903524293,0.051706582,-0.045827124,1.305106658,0.902396837,0.981480255
4180_Plaque cell 7_20122017_1207,A13,2.12E-09,EC_11190448,2,0.784112505,0.030443158,-0.083830104,0.801621908,0.783252803,0.969454578
4180_Plaque cell 7_20122017_1207,B13,2.12E-09,EC_11189184,2,1.02740534,0.017809443,0.021982116,1.280072868,1.08083091,1.008059235
4180_Plaque cell 7_20122017_1207,C13,2.12E-09,EC_11281652,2,0.893366886,-0.005126017,0.076378539,0.902803079,1.136776494,0.985918566
4180_Plaque cell 7_20122017_1207,D13,2.12E-09,EC_11187829,2,0.940077852,0.02975362,0.092771982,1.073691015,1.205753679,0.983705398
4180_Plaque cell 7_20122017_1207,E13,2.12E-09,EC_11177597,2,0.92825594,0.03377243,0.090163934,0.974143504,1.223557467,0.983958742
4180_Plaque cell 7_20122017_1207,F13,2.12E-09,EC_11176791,2,0.798712958,0.073320325,0.111400894,2.283069871,1.331797215,0.969750666
4180_Plaque cell 7_20122017_1207,G13,2.12E-09,EC_11192156,2,0.816865228,0.065562715,0.159463487,0.914673562,1.204386628,0.929960251
4180_Plaque cell 7_20122017_1207,H13,2.12E-09,EC_11258179,2,0.850614032,0.01325652,0.096497765,1.438855262,1.142608769,0.97049308
4180_Plaque cell 7_20122017_1207,I13,2.12E-09,EC_11191889,2,0.77505603,0.111981319,0.169150522,1.021978022,1.181082512,0.902001171
4180_Plaque cell 7_20122017_1207,J13,2.12E-09,EC_11189708,2,1.103291,-0.003419565,0.094634873,0.915613798,1.177134839,1.0087493
4180_Plaque cell 7_20122017_1207,K13,2.12E-09,EC_11187457,2,0.974023251,0.026938727,0.090536513,0.992713169,1.252654595,0.995954225
4180_Plaque cell 7_20122017_1207,L13,2.12E-09,EC_11188314,2,1.129778896,0.009798469,0.071907601,0.929247223,1.429382532,1.052925198
4180_Plaque cell 7_20122017_1207,M13,2.12E-09,EC_11192049,2,0.916027733,0.004266007,0.081222057,0.990597638,1.07518067,0.974796346
4180_Plaque cell 7_20122017_1207,N13,2.12E-09,EC_11190627,2,0.961310109,0.034231299,0.034649776,1.293823823,0.961633337,0.972236256
4180_Plaque cell 7_20122017_1207,O13,2.12E-09,EC_11187486,2,0.788634189,0.080751051,0.118107303,0.980372569,0.995609732,0.906823997
4180_Plaque cell 7_20122017_1207,P13,2.12E-09,EC_11188204,2,0.950956107,-0.031451314,-0.035394933,1.53440677,0.967876084,1.02353418
4180_Plaque cell 7_20122017_1207,A14,6.35E-10,EC_11190448,2,0.49180199,0.009743947,-0.020119225,0.874831051,0.565045753,0.886771047
4180_Plaque cell 7_20122017_1207,B14,6.35E-10,EC_11189184,2,1.066540846,0.007301207,0.035022355,0.714332726,1.117891201,1.013682074
4180_Plaque cell 7_20122017_1207,C14,6.35E-10,EC_11281652,2,0.98356466,0.015571837,0.123323398,0.728918141,0.839851573,0.926512865
4180_Plaque cell 7_20122017_1207,D14,6.35E-10,EC_11187829,2,0.870902633,0.054713904,0.027943368,1.293588764,0.942141259,0.954114429
4180_Plaque cell 7_20122017_1207,E14,6.35E-10,EC_11177597,2,0.975805712,0.011576465,0.11438152,1.058412176,1.081141441,0.967693311
4180_Plaque cell 7_20122017_1207,F14,6.35E-10,EC_11176791,2,0.97431159,0.097710722,0.086065574,0.982253041,1.142151895,0.956188719
4180_Plaque cell 7_20122017_1207,G14,6.35E-10,EC_11192156,2,0.721922961,0.156392984,0.30923994,0.705341717,0.900915567,0.783435541
4180_Plaque cell 7_20122017_1207,H14,6.35E-10,EC_11258179,2,1.003866368,0.016530282,0.096497765,0.846506435,1.153809307,0.985541433
4180_Plaque cell 7_20122017_1207,I14,6.35E-10,EC_11191889,2,0.825672682,0.152776303,0.197466468,1.521713581,1.378683855,0.914258893
4180_Plaque cell 7_20122017_1207,J14,6.35E-10,EC_11189708,2,0.911243922,-0.005620412,0.077123696,0.998472116,1.057298357,0.976753907
4180_Plaque cell 7_20122017_1207,K14,6.35E-10,EC_11187457,2,0.883209478,0.083039231,0.140461997,0.872480461,1.154052021,0.93111239
4180_Plaque cell 7_20122017_1207,L14,6.35E-10,EC_11188314,2,0.911414304,0.058458872,0.139344262,1.185931715,1.282287123,0.964140746
4180_Plaque cell 7_20122017_1207,M14,6.35E-10,EC_11192049,2,0.738135493,0.088585139,0.173621461,1.193571135,1.129605722,0.897724518
4180_Plaque cell 7_20122017_1207,N14,6.35E-10,EC_11190627,2,1.12819303,0.017258059,0.038748137,0.994828701,1.24983483,1.036795706
4180_Plaque cell 7_20122017_1207,O14,6.35E-10,EC_11187486,2,0.856105585,0.015671752,0.038002981,1.209907739,0.981742908,0.967809372
4180_Plaque cell 7_20122017_1207,P14,6.35E-10,EC_11188204,2,0.780744178,0.059861384,-0.032786885,1.305576776,0.842075262,0.950430811
4180_Plaque cell 7_20122017_1207,A15,3.23E-05,EC_11189828,2,0.872789945,-0.021694909,-0.239940387,-0.091872833,0.765641759,1.050666238
4180_Plaque cell 7_20122017_1207,B15,3.23E-05,EC_11189194,2,-0.277985295,0.596365013,0.821535022,0.05468649,0.459479428,0.245469385
4180_Plaque cell 7_20122017_1207,C15,3.23E-05,EC_11193277,2,-0.072609077,-0.092867921,0.159090909,-2.437021802,0.101050059,0.702600693
4180_Plaque cell 7_20122017_1207,D15,3.23E-05,EC_11189359,2,0.196830889,-0.050933164,0.11438152,0.121266968,0.618785495,0.826258772
4180_Plaque cell 7_20122017_1207,E15,3.23E-05,EC_11191283,2,-1.491762671,-0.063758568,0.084202683,0.48433919,-0.083727513,0.544700748
4180_Plaque cell 7_20122017_1207,F15,3.23E-05,EC_11187920,2,0.172689026,0.330880602,-0.061102832,1.804254569,2.543693344,1.046345877
4180_Plaque cell 7_20122017_1207,G15,3.23E-05,EC_16578705,2,0.58998152,0.104861439,-0.602086438,1.814127049,0.805450429,1.127735157
4180_Plaque cell 7_20122017_1207,H15,3.23E-05,EC_11192350,2,0.671175245,-0.012022382,-0.014530551,0.733525298,1.098302751,0.990759938
4180_Plaque cell 7_20122017_1207,I15,3.23E-05,EC_11188016,2,0.321616273,0.192292126,0.2585693,0.656132103,1.157285829,0.780799555
4180_Plaque cell 7_20122017_1207,J15,3.23E-05,EC_11193182,2,0.180670782,0.070796542,0.031669151,0.260821531,0.610825902,0.812264333
4180_Plaque cell 7_20122017_1207,K15,3.23E-05,EC_11189738,2,0.395221431,0.00294873,-0.02533532,1.052770759,0.629514882,0.890392885
4180_Plaque cell 7_20122017_1207,L15,3.23E-05,EC_11190219,2,0.611554542,0.161824174,-0.021982116,1.029029794,1.838427056,1.034942102
4180_Plaque cell 7_20122017_1207,M15,3.23E-05,EC_11257101,2,0.169399337,0.383481609,0.088301043,0.705329964,1.246708102,0.773537733
4180_Plaque cell 7_20122017_1207,N15,3.23E-05,EC_11177295,2,0.219780076,0.159353433,-0.3390462,2.814303344,0.609066226,0.941118989
