Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-1,C13,2.12E-09,EC_2153600,2,-0.05553708,0.991879539,-0.186517695,1.426852756,-0.011784344,-0.37571023,Not Fitted,False,Not Fitted,False
EMT 1-1,C14,6.35E-10,EC_2153600,2,0.075823079,0.602009005,0.28527664,0.888762292,-0.003049166,-0.036298592,Not Fitted,False,Not Fitted,False
EMT 1-2,C05,3.23E-05,EC_2153600,2,-0.463941509,0.2100699,-0.54685807,0.052381221,-0.156645203,-0.578452092,Not Fitted,True,Not Fitted,True
EMT 1-2,C06,9.68E-06,EC_2153600,2,0.222665337,1.052097736,0.984244589,1.220946517,0.091326962,0.199541401,Not Fitted,False,Not Fitted,False
EMT 1-2,C07,2.90E-06,EC_2153600,2,0.083416417,1.019119105,0.396867346,1.219339854,0.03047539,-0.068180731,Not Fitted,False,Not Fitted,False
EMT 1-2,C08,8.71E-07,EC_2153600,2,0.048188767,0.894547754,0.080762103,1.18323638,-0.007950718,-0.167498542,Not Fitted,False,Not Fitted,False
EMT 1-2,C09,2.61E-07,EC_2153600,2,0.036889332,0.995261761,-0.171599404,0.857387003,-0.058553281,-0.172505282,Not Fitted,False,Not Fitted,False
EMT 1-2,C10,7.84E-08,EC_2153600,2,0.058823529,1.134992284,-0.1287884,1.032081298,-0.072980787,-0.17599439,Not Fitted,False,Not Fitted,False
EMT 1-2,C11,2.35E-08,EC_2153600,2,0.003323363,0.874800721,-0.135410318,1.243944048,-0.066780361,-0.271965829,Not Fitted,False,Not Fitted,False
EMT 1-2,C12,7.06E-09,EC_2153600,2,0.017946162,1.177325501,-0.115572989,1.050386202,-0.077504145,-0.215501404,Not Fitted,False,Not Fitted,False
EMT 1-2,C13,2.12E-09,EC_2153600,2,0.083084081,0.837597442,0.229887885,0.791287914,-0.099237525,-0.02302285,Not Fitted,False,Not Fitted,False
EMT 1-2,C14,6.35E-10,EC_2153600,2,0.040545032,1.029975061,-0.02684792,1.095293369,-0.100654765,-0.182328372,Not Fitted,False,Not Fitted,False
EMT 1-3,C05,3.23E-05,EC_2153600,2,-0.501626545,0.567794268,-0.21199926,-0.006818251,-0.11248904,-0.525620941,Not Fitted,True,Not Fitted,True
