Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-4-C3,K07,0.783392994,0.133704578,0.12125,0.285699183,EC_11190511,2.90E-06
EMT-Serie2-4-C3,K08,0.834748037,0.01225368,0.007916667,0.497766736,EC_11190511,8.71E-07
EMT-Serie2-4-C3,K09,1.008436398,0.035363435,-0.0225,0.779660121,EC_11190511,2.61E-07
EMT-Serie2-4-C3,K10,0.991293371,0.027979622,0.039166667,0.851573856,EC_11190511,7.84E-08
EMT-Serie2-4-C3,K11,0.805218795,0.000488581,0.0825,0.928667706,EC_11190511,2.35E-08
EMT-Serie2-4-C3,K12,1.025212946,0.000453786,0.0575,0.947934561,EC_11190511,7.06E-09
EMT-Serie2-4-C3,K13,0.915162194,-0.014689338,0.079583333,1.051272564,EC_11190511,2.12E-09
EMT-Serie2-4-C3,K14,1.051384658,-0.038396409,0.006666667,1.455162936,EC_11190511,6.35E-10
EMT-Serie2-4-C1,A05,0.629998411,0.781914449,0.342654424,-0.337943214,EC_11190627,3.23E-05
EMT-Serie2-4-C1,A06,0.575111452,0.300913222,0.271702838,-0.105909523,EC_11190627,9.68E-06
EMT-Serie2-4-C1,A07,0.777114129,-0.013144341,-0.184891486,0.354489879,EC_11190627,2.90E-06
EMT-Serie2-4-C1,A08,0.748283068,-0.010958667,-0.122287145,0.386768102,EC_11190627,8.71E-07
EMT-Serie2-4-C1,A09,0.717236151,-0.006728702,-0.213689482,0.679826111,EC_11190627,2.61E-07
EMT-Serie2-4-C1,A10,0.62350403,0.175406478,0.047579299,0.724983019,EC_11190627,7.84E-08
EMT-Serie2-4-C1,A11,0.798638567,-0.010468153,-0.070951586,0.517429697,EC_11190627,2.35E-08
EMT-Serie2-4-C1,A12,0.621309549,0.035503138,-0.032971619,0.151229453,EC_11190627,7.06E-09
EMT-Serie2-4-C1,A13,0.908480172,-0.037097309,-0.154841402,0.829615541,EC_11190627,2.12E-09
EMT-Serie2-4-C1,A14,0.715540416,0.008915819,-0.108931553,0.385409591,EC_11190627,6.35E-10
EMT-Serie2-4-C2,A05,0.470726979,0.752081757,0.314734089,-0.422797443,EC_11190627,3.23E-05
EMT-Serie2-4-C2,A06,0.6465954,0.298705379,0.18831735,-0.048308124,EC_11190627,9.68E-06
EMT-Serie2-4-C2,A07,0.757635333,-0.035410723,-0.204446382,0.215499766,EC_11190627,2.90E-06
EMT-Serie2-4-C2,A08,0.79318129,-0.105639508,-0.328683522,0.877405271,EC_11190627,8.71E-07
EMT-Serie2-4-C2,A09,0.843801587,-0.046500027,-0.303836094,0.915515359,EC_11190627,2.61E-07
EMT-Serie2-4-C2,A10,0.775168848,-0.056624396,-0.303836094,0.866396382,EC_11190627,7.84E-08
EMT-Serie2-4-C2,A11,0.626745369,-0.124312782,-0.278988666,0.69390301,EC_11190627,2.35E-08
EMT-Serie2-4-C2,A12,0.661394611,-0.002312567,-0.154315606,0.008576329,EC_11190627,7.06E-09
EMT-Serie2-4-C2,A13,0.765634447,-0.030678373,-0.305579773,0.542647747,EC_11190627,2.12E-09
EMT-Serie2-4-C2,A14,0.687613363,-0.029184809,-0.230601569,0.176547638,EC_11190627,6.35E-10
EMT-Serie2-4-C3,A05,0.678658024,0.763880351,0.294166667,-0.140365251,EC_11190627,3.23E-05
EMT-Serie2-4-C3,A06,0.635946679,0.410051729,0.239583333,0.029362793,EC_11190627,9.68E-06
EMT-Serie2-4-C3,A07,0.805252111,0.025381586,-0.0975,0.313106219,EC_11190627,2.90E-06
EMT-Serie2-4-C3,A08,0.76279619,0.038699417,-0.09625,0.439279013,EC_11190627,8.71E-07
