Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-3-C1,C24,-0.261764706,0.023404076,0.918772738,X-XA25731,6.35E-10,0.742201958
EMT-Serie2-3-C2,C15,0.021607606,-0.212546887,-0.462567931,X-XA25731,3.23E-05,0.763135875
EMT-Serie2-3-C2,C16,0.02247191,0.303160008,0.578368632,X-XA25731,9.68E-06,1.378167943
EMT-Serie2-3-C2,C17,-0.091616249,0.14792588,1.183706638,X-XA25731,2.90E-06,1.062586996
EMT-Serie2-3-C2,C18,-0.115816768,-0.029828834,1.31550612,X-XA25731,8.71E-07,1.119331692
EMT-Serie2-3-C2,C19,-0.097666379,-0.027766319,1.137741886,X-XA25731,2.61E-07,0.960289297
EMT-Serie2-3-C2,C20,-0.096369922,-0.06908757,1.074686373,X-XA25731,7.84E-08,0.88050199
EMT-Serie2-3-C2,C21,-0.160328436,-0.091931947,1.316014018,X-XA25731,2.35E-08,0.763477584
EMT-Serie2-3-C2,C22,-0.061797753,0.017413829,1.176519884,X-XA25731,7.06E-09,1.18169189
EMT-Serie2-3-C2,C23,-0.12662057,-0.012002502,1.288612931,X-XA25731,2.12E-09,1.123522907
EMT-Serie2-3-C2,C24,-0.216076059,0.026760936,0.366879984,X-XA25731,6.35E-10,0.785177554
EMT-Serie2-3-C3,C15,0.013316687,-0.199629634,-0.553619752,X-XA25731,3.23E-05,0.664452949
EMT-Serie2-3-C3,C16,0.027049521,0.21311236,0.918687663,X-XA25731,9.68E-06,1.614090921
EMT-Serie2-3-C3,C17,-0.032459426,0.119650431,1.171825468,X-XA25731,2.90E-06,1.12994385
EMT-Serie2-3-C3,C18,-0.050353725,-0.011439579,1.292827504,X-XA25731,8.71E-07,1.084885755
EMT-Serie2-3-C3,C19,-0.104036621,-0.081341788,1.387515786,X-XA25731,2.61E-07,1.027243932
EMT-Serie2-3-C3,C20,-0.062838119,-0.028852333,1.112033195,X-XA25731,7.84E-08,0.93240037
EMT-Serie2-3-C3,C21,-0.158967957,-0.086297041,1.477848509,X-XA25731,2.35E-08,1.038775151
EMT-Serie2-3-C3,C22,-0.098626717,-0.113094543,1.356253705,X-XA25731,7.06E-09,0.794514536
EMT-Serie2-3-C3,C23,-0.196004994,-0.051569382,1.03430324,X-XA25731,2.12E-09,0.727061188
EMT-Serie2-3-C3,C24,-0.200582605,-0.048252737,0.60928842,X-XA25731,6.35E-10,0.854807255
EMT-Serie2-4-C1,I15,-0.747495826,0.379988458,-2.006004619,X-XEW670281,3.23E-05,-0.053290261
EMT-Serie2-4-C1,I16,-0.73706177,0.574112385,-1.350686048,X-XEW670281,9.68E-06,0.157639252
EMT-Serie2-4-C1,I17,-0.768781302,0.645958306,-1.023149029,X-XEW670281,2.90E-06,0.459224337
EMT-Serie2-4-C1,I18,-0.7721202,0.583965953,-2.213856813,X-XEW670281,8.71E-07,0.327003301
EMT-Serie2-4-C1,I19,-0.768781302,0.70268773,-0.539410406,X-XEW670281,2.61E-07,0.776394511
EMT-Serie2-4-C1,I20,-0.716611018,0.787305778,-0.405705747,X-XEW670281,7.84E-08,0.869606511
EMT-Serie2-4-C1,I21,-0.638146912,0.32693645,0.146148621,X-XEW670281,2.35E-08,0.673635093
EMT-Serie2-4-C1,I22,-0.541736227,0.002152492,-0.427550605,X-XEW670281,7.06E-09,0.489426948
EMT-Serie2-4-C1,I23,-0.171535893,0.089094713,-0.199701128,X-XEW670281,2.12E-09,0.608773221
EMT-Serie2-4-C1,I24,-0.195742905,0.085604847,-0.135389213,X-XEW670281,6.35E-10,0.856649811
EMT-Serie2-4-C2,I15,-0.879250218,0.194858744,-2.879806643,X-XEW670281,3.23E-05,-0.050937544
EMT-Serie2-4-C2,I16,-0.837401918,0.407308189,-2.249898643,X-XEW670281,9.68E-06,0.2339121
