Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-5-C1,C05,-0.849706129,0.135641619,-2.786663564,Canertinib,3.23E-05,-0.04146201
EMT-Serie2-5-C1,C06,-0.751469353,0.108604911,-0.602906195,Canertinib,9.68E-06,0.226098426
EMT-Serie2-5-C1,C07,-0.278337531,-0.296701396,-0.536663564,Canertinib,2.90E-06,0.148038769
EMT-Serie2-5-C1,C08,-0.256926952,-0.285076868,-0.534284828,Canertinib,8.71E-07,0.142785815
EMT-Serie2-5-C1,C09,-0.51427372,-0.17882957,-0.574826766,Canertinib,2.61E-07,0.086097024
EMT-Serie2-5-C1,C10,-0.747691016,0.099324867,-1.123590857,Canertinib,7.84E-08,0.182378889
EMT-Serie2-5-C1,C11,-0.298488665,-0.30302975,-0.594218637,Canertinib,2.35E-08,0.175914714
EMT-Serie2-5-C1,C12,0.018471872,-0.318421665,0.202476988,Canertinib,7.06E-09,0.536353195
EMT-Serie2-5-C1,C13,-0.061293031,-0.333986252,0.384863998,Canertinib,2.12E-09,0.467000956
EMT-Serie2-5-C1,C14,-0.000419815,-0.305991286,0.311019754,Canertinib,6.35E-10,0.567920913
EMT-Serie2-5-C2,C05,-0.791348601,0.058811827,-3.315636295,Canertinib,3.23E-05,-0.048940308
EMT-Serie2-5-C2,C06,-0.729431722,0.215624083,-0.572806647,Canertinib,9.68E-06,0.096754008
EMT-Serie2-5-C2,C07,-0.263358779,-0.288917985,-0.450711167,Canertinib,2.90E-06,0.191542631
EMT-Serie2-5-C2,C08,-0.33418151,-0.258941915,-0.533516406,Canertinib,8.71E-07,0.167080491
EMT-Serie2-5-C2,C09,-0.690415606,-0.061502472,-0.254471201,Canertinib,2.61E-07,0.130549226
EMT-Serie2-5-C2,C10,-0.725614928,-0.001307933,-0.793245083,Canertinib,7.84E-08,0.271065956
EMT-Serie2-5-C2,C11,-0.572943172,-0.222594081,0.050673614,Canertinib,2.35E-08,0.065685154
EMT-Serie2-5-C2,C12,0.081849025,-0.289435233,0.24045909,Canertinib,7.06E-09,0.501494575
EMT-Serie2-5-C2,C13,-0.095419847,-0.310212317,0.287025302,Canertinib,2.12E-09,0.306007816
EMT-Serie2-5-C2,C14,0.005513147,-0.321737787,0.261066516,Canertinib,6.35E-10,0.301129412
EMT-Serie2-5-C3,C05,-0.799224472,-0.069785813,-3.852797478,Canertinib,3.23E-05,-0.047680166
EMT-Serie2-5-C3,C06,-0.734597156,0.211696944,-1.300183872,Canertinib,9.68E-06,0.153518013
EMT-Serie2-5-C3,C07,-0.272296424,-0.309175864,-0.492960336,Canertinib,2.90E-06,0.061766764
EMT-Serie2-5-C3,C08,-0.336492891,-0.296550497,-0.542553191,Canertinib,8.71E-07,0.126680419
EMT-Serie2-5-C3,C09,-0.678586816,-0.115192745,-0.561544523,Canertinib,2.61E-07,0.280539923
EMT-Serie2-5-C3,C10,-0.72985782,0.181801346,-0.847491463,Canertinib,7.84E-08,0.083203103
EMT-Serie2-5-C3,C11,-0.312796209,-0.339836828,-0.385526661,Canertinib,2.35E-08,0.310014233
EMT-Serie2-5-C3,C12,0.074105989,-0.305073412,0.287654321,Canertinib,7.06E-09,0.493386283
EMT-Serie2-5-C3,C13,-0.055148643,-0.356065061,0.323010244,Canertinib,2.12E-09,0.427044813
EMT-Serie2-5-C3,C14,0.037052994,-0.308500923,0.346283163,Canertinib,6.35E-10,0.450124507
EMT-Serie2-3-C1,H15,0.442857143,-0.148487575,-0.574751395,EC_11175103,3.23E-05,0.28704094
EMT-Serie2-3-C1,H16,0.264705882,0.29595528,0.04887218,EC_11175103,9.68E-06,0.713041076
EMT-Serie2-3-C1,H17,0.222268908,0.207672909,0.488721805,EC_11175103,2.90E-06,0.850404086
EMT-Serie2-3-C1,H18,0.008823529,-0.021204133,0.824787776,EC_11175103,8.71E-07,0.931217713
EMT-Serie2-3-C1,H19,0.026470588,-0.101090102,0.914358477,EC_11175103,2.61E-07,0.949782536
EMT-Serie2-3-C1,H20,0.098319328,0.094639033,0.512272617,EC_11175103,7.84E-08,0.613596596
EMT-Serie2-3-C1,H21,0.155042017,0.116631312,0.466504972,EC_11175103,2.35E-08,0.940493174
EMT-Serie2-3-C1,H22,-0.092016807,-0.06387559,0.931093864,EC_11175103,7.06E-09,0.957695696
EMT-Serie2-3-C1,H23,-0.035714286,0.035872804,0.605529954,EC_11175103,2.12E-09,0.735863089
EMT-Serie2-3-C1,H24,-0.089495798,0.02411355,0.203177298,EC_11175103,6.35E-10,0.848941002
EMT-Serie2-3-C2,H15,0.526361279,-0.145882586,-0.818883641,EC_11175103,3.23E-05,0.243518963
EMT-Serie2-3-C2,H16,0.394987035,0.302904227,-0.188937986,EC_11175103,9.68E-06,0.580446077
EMT-Serie2-3-C2,H17,0.093344857,0.000706725,0.558687592,EC_11175103,2.90E-06,0.787128011
EMT-Serie2-3-C2,H18,-0.029818496,-0.005154068,0.820026411,EC_11175103,8.71E-07,0.859948103
EMT-Serie2-3-C2,H19,0.049265341,-0.096108723,0.697343694,EC_11175103,2.61E-07,0.84310462
EMT-Serie2-3-C2,H20,0.010371651,-0.018655773,0.98364569,EC_11175103,7.84E-08,0.911527867
EMT-Serie2-3-C2,H21,0.021607606,-0.02353336,0.797729697,EC_11175103,2.35E-08,0.790490659
EMT-Serie2-3-C2,H22,0,-0.016770679,0.797120219,EC_11175103,7.06E-09,0.911597418
EMT-Serie2-3-C2,H23,-0.088159032,0.006171279,0.861140738,EC_11175103,2.12E-09,0.988046268
EMT-Serie2-3-C2,H24,-0.111063094,0.067804228,0.585987099,EC_11175103,6.35E-10,0.738614546
EMT-Serie2-3-C3,H15,0.473574698,-0.145440233,-0.65173578,EC_11175103,3.23E-05,0.24262976
EMT-Serie2-3-C3,H16,0.418643362,0.317835695,-0.333599649,EC_11175103,9.68E-06,0.604342189
EMT-Serie2-3-C3,H17,0.103620474,0.039225795,0.629107497,EC_11175103,2.90E-06,0.845320402
EMT-Serie2-3-C3,H18,0.084893883,-0.041114136,0.801731914,EC_11175103,8.71E-07,0.875721861
EMT-Serie2-3-C3,H19,0.071161049,-0.091767826,0.938249014,EC_11175103,2.61E-07,0.950514231
EMT-Serie2-3-C3,H20,-0.059508947,-0.076117816,0.925465839,EC_11175103,7.84E-08,0.919306443
EMT-Serie2-3-C3,H21,-0.009155223,0.008260214,0.862941677,EC_11175103,2.35E-08,0.900875045
EMT-Serie2-3-C3,H22,-0.024136496,-0.0049129,1.14842401,EC_11175103,7.06E-09,1.047787483
EMT-Serie2-3-C3,H23,-0.007490637,-0.045964237,0.54586222,EC_11175103,2.12E-09,0.662301549
EMT-Serie2-3-C3,H24,-0.079067832,0.020989356,0.139919074,EC_11175103,6.35E-10,0.777849214
EMT-Serie2-3-C1,G15,0.064705882,0.187292683,1.155396556,EC_11176072,3.23E-05,1.152803577
EMT-Serie2-3-C1,G16,0.127731092,0.142622967,1.343997089,EC_11176072,9.68E-06,0.971996379
EMT-Serie2-3-C1,G17,-0.008823529,-0.009835376,1.246107203,EC_11176072,2.90E-06,1.079270613
EMT-Serie2-3-C1,G18,0.035294118,0.066370194,1.087872908,EC_11176072,8.71E-07,1.203566656
EMT-Serie2-3-C1,G19,-0.044117647,-0.004906245,1.333834586,EC_11176072,2.61E-07,0.982071149
EMT-Serie2-3-C1,G20,0.060504202,0.023615774,1.01501334,EC_11176072,7.84E-08,1.131100597
EMT-Serie2-3-C1,G21,0.030252101,0.168837763,0.858816396,EC_11176072,2.35E-08,0.913021267
EMT-Serie2-3-C1,G22,-0.064705882,-0.030118336,1.246689304,EC_11176072,7.06E-09,1.131117973
EMT-Serie2-3-C1,G23,-0.142436975,-0.039408733,1.243002668,EC_11176072,2.12E-09,0.964861676
EMT-Serie2-3-C1,G24,-0.088655462,0.039261403,0.677395101,EC_11176072,6.35E-10,0.89920712
EMT-Serie2-3-C2,G15,-0.110630942,-0.01007601,1.479506323,EC_11176072,3.23E-05,0.991916943
EMT-Serie2-3-C2,G16,0.023336214,0.126509738,1.243054497,EC_11176072,9.68E-06,0.866770167
EMT-Serie2-3-C2,G17,-0.048833189,-0.045177191,1.313525319,EC_11176072,2.90E-06,1.163647893
EMT-Serie2-3-C2,G18,0.015989628,0.096713432,0.850652649,EC_11176072,8.71E-07,0.82391454
EMT-Serie2-3-C2,G19,-0.085566119,-0.08258484,1.62649195,EC_11176072,2.61E-07,1.091562625
EMT-Serie2-3-C2,G20,-0.070872947,-0.025400712,1.189649043,EC_11176072,7.84E-08,1.110692225
EMT-Serie2-3-C2,G21,-0.119273984,-0.024290355,1.355045965,EC_11176072,2.35E-08,1.013740895
EMT-Serie2-3-C2,G22,-0.022039758,-0.053011788,1.075575194,EC_11176072,7.06E-09,0.795144541
EMT-Serie2-3-C2,G23,-0.200518583,-0.044955416,1.114378587,EC_11176072,2.12E-09,0.873592231
EMT-Serie2-3-C2,G24,-0.131374244,0.006415232,0.145461933,EC_11176072,6.35E-10,0.624039551
EMT-Serie2-3-C3,G15,-0.046608406,0.075330642,1.222004588,EC_11176072,3.23E-05,1.180492831
EMT-Serie2-3-C3,G16,0.043695381,-0.022255553,1.060230406,EC_11176072,9.68E-06,1.053620881
EMT-Serie2-3-C3,G17,-0.005409904,-0.175696043,1.340145873,EC_11176072,2.90E-06,1.040987204
EMT-Serie2-3-C3,G18,0.069080316,-0.059172401,1.171464653,EC_11176072,8.71E-07,1.209460024
EMT-Serie2-3-C3,G19,-0.146899709,-0.099271536,1.473389861,EC_11176072,2.61E-07,1.114534402
EMT-Serie2-3-C3,G20,0.011235955,-0.057395053,1.202855597,EC_11176072,7.84E-08,1.011877298
EMT-Serie2-3-C3,G21,-0.109862672,-0.060256043,1.164995748,EC_11176072,2.35E-08,0.957935312
EMT-Serie2-3-C3,G22,-0.036620891,-0.048435291,0.874822814,EC_11176072,7.06E-09,0.833703555
EMT-Serie2-3-C3,G23,-0.066167291,0.010225958,0.677714492,EC_11176072,2.12E-09,0.768997433
EMT-Serie2-3-C3,G24,-0.175613816,0.013374654,0.111105384,EC_11176072,6.35E-10,0.70560784
EMT-Serie2-1-C1,N15,0.05280129,0.160519847,0.59831468,EC_11176305,3.23E-05,1.048853483
EMT-Serie2-1-C1,N16,0.038694075,0.125789675,0.83222457,EC_11176305,9.68E-06,1.066881127
EMT-Serie2-1-C1,N17,0.072148327,0.103338309,0.813779969,EC_11176305,2.90E-06,1.254028299
EMT-Serie2-1-C1,N18,0.070536074,0.107193471,0.897237223,EC_11176305,8.71E-07,1.137659817
EMT-Serie2-1-C1,N19,0.031035873,0.129880812,0.761394172,EC_11176305,2.61E-07,1.012492577
EMT-Serie2-1-C1,N20,0.027811366,0.15165122,1.138843234,EC_11176305,7.84E-08,1.278971949
EMT-Serie2-1-C1,N21,-0.032648126,-0.009712744,1.02903655,EC_11176305,2.35E-08,1.294101889
EMT-Serie2-1-C1,N22,0.000403063,0.008852445,1.175028045,EC_11176305,7.06E-09,0.896565541
EMT-Serie2-1-C1,N23,0.00362757,0.048153797,0.888106233,EC_11176305,2.12E-09,0.932232206
EMT-Serie2-1-C1,N24,0.041918581,0.200643741,0.610654562,EC_11176305,6.35E-10,0.898067216
EMT-Serie2-1-C2,N15,-0.031224655,0.08804236,0.638662123,EC_11176305,3.23E-05,1.16987557
EMT-Serie2-1-C2,N16,-0.071776156,0.054005171,1.462550527,EC_11176305,9.68E-06,1.313092068
EMT-Serie2-1-C2,N17,0.100162206,0.020648503,0.705529576,EC_11176305,2.90E-06,0.875598113
EMT-Serie2-1-C2,N18,0.025547445,0.022207564,0.910781749,EC_11176305,8.71E-07,0.950216487
EMT-Serie2-1-C2,N19,0.01703163,0.086575336,1.036538004,EC_11176305,2.61E-07,1.325523723
EMT-Serie2-1-C2,N20,-0.049067315,-0.00371079,1.303003884,EC_11176305,7.84E-08,1.155683713
EMT-Serie2-1-C2,N21,0.119626926,0.174889625,0.957068505,EC_11176305,2.35E-08,0.870783336
EMT-Serie2-1-C2,N22,-0.032035685,0.078470446,1.245171858,EC_11176305,7.06E-09,1.180511462
EMT-Serie2-1-C2,N23,-0.031224655,0.016456607,1.042403107,EC_11176305,2.12E-09,0.986391321
EMT-Serie2-1-C2,N24,-0.191808597,-0.043068033,0.863491057,EC_11176305,6.35E-10,1.104876082
EMT-Serie2-1-C3,N15,0.066079295,0.155130471,0.482218754,EC_11176305,3.23E-05,0.961659605
EMT-Serie2-1-C3,N16,0.070484581,0.00510167,0.736534998,EC_11176305,9.68E-06,0.85924797
EMT-Serie2-1-C3,N17,0.136964357,0.132552541,0.883971665,EC_11176305,2.90E-06,0.954030219
EMT-Serie2-1-C3,N18,0.00680817,0.011098124,1.148781366,EC_11176305,8.71E-07,1.270841641
EMT-Serie2-1-C3,N19,0.062074489,0.062408424,1.07174931,EC_11176305,2.61E-07,1.016981235
EMT-Serie2-1-C3,N20,0.102523028,0.139404633,0.695593709,EC_11176305,7.84E-08,0.847474689
EMT-Serie2-1-C3,N21,0.044453344,0.026812778,1.071989435,EC_11176305,2.35E-08,0.929279181
EMT-Serie2-1-C3,N22,0.162595114,0.213736061,0.686156802,EC_11176305,7.06E-09,0.899597905
EMT-Serie2-1-C3,N23,-0.022026432,0.063525507,0.736799136,EC_11176305,2.12E-09,0.752190055
EMT-Serie2-1-C3,N24,-0.177813376,-0.069749852,0.571136991,EC_11176305,6.35E-10,0.879124939
EMT-Serie2-3-C1,I15,0.26512605,0.498761996,0.162794082,EC_11176396,3.23E-05,1.109738192
EMT-Serie2-3-C1,I16,-0.229831933,0.060326787,0.944215377,EC_11176396,9.68E-06,1.112372436
EMT-Serie2-3-C1,I17,0.032773109,0.008257654,0.943851564,EC_11176396,2.90E-06,0.857855037
EMT-Serie2-3-C1,I18,0.015966387,0.070667092,0.862624303,EC_11176396,8.71E-07,1.095096934
EMT-Serie2-3-C1,I19,-0.013445378,-0.036559392,1.288964346,EC_11176396,2.61E-07,1.264338476
EMT-Serie2-3-C1,I20,0.054201681,-0.008107462,1.166504972,EC_11176396,7.84E-08,1.044594498
EMT-Serie2-3-C1,I21,-0.057142857,0.073530737,1.126121756,EC_11176396,2.35E-08,1.20456058
EMT-Serie2-3-C1,I22,0.068487395,0.108862853,0.876061121,EC_11176396,7.06E-09,1.016118242
EMT-Serie2-3-C1,I23,0.042016807,0.001819459,0.623526558,EC_11176396,2.12E-09,0.982866983
EMT-Serie2-3-C1,I24,-0.189915966,0.015548362,0.964006791,EC_11176396,6.35E-10,0.96471224
EMT-Serie2-3-C2,I15,0.247191011,0.570361302,0.005409112,EC_11176396,3.23E-05,0.896994693
EMT-Serie2-3-C2,I16,0.101555748,0.09462874,0.761795927,EC_11176396,9.68E-06,0.939272743
EMT-Serie2-3-C2,I17,-0.052722558,-0.025017779,1.26565595,EC_11176396,2.90E-06,1.029795123
EMT-Serie2-3-C2,I18,0,0.012602775,1.102747727,EC_11176396,8.71E-07,1.073189016
EMT-Serie2-3-C2,I19,-0.086430424,-0.049951283,1.425034283,EC_11176396,2.61E-07,0.996549656
EMT-Serie2-3-C2,I20,-0.092912705,-0.042022062,1.137640307,EC_11176396,7.84E-08,0.93849256
EMT-Serie2-3-C2,I21,-0.151253241,-0.045140229,1.463101224,EC_11176396,2.35E-08,1.032023785
EMT-Serie2-3-C2,I22,-0.089455488,-0.047446696,1.166158769,EC_11176396,7.06E-09,1.050497185
EMT-Serie2-3-C2,I23,-0.207000864,-0.043691294,0.910381431,EC_11176396,2.12E-09,0.751792984
EMT-Serie2-3-C2,I24,-0.232065687,0.017345818,0.917822134,EC_11176396,6.35E-10,0.963391884
EMT-Serie2-3-C3,I15,0.170620058,0.483435758,-0.106827144,EC_11176396,3.23E-05,1.039049873
EMT-Serie2-3-C3,I16,0.030378693,-0.009492821,0.635086725,EC_11176396,9.68E-06,0.918343129
EMT-Serie2-3-C3,I17,0.044527674,-0.03325262,1.023221051,EC_11176396,2.90E-06,1.204693406
EMT-Serie2-3-C3,I18,0.032043279,-0.025988422,1.168320404,EC_11176396,8.71E-07,1.257365245
EMT-Serie2-3-C3,I19,-0.024552643,-0.041184237,0.985722017,EC_11176396,2.61E-07,0.967140308
EMT-Serie2-3-C3,I20,-0.034956305,-0.052286455,1.199659803,EC_11176396,7.84E-08,1.068570079
EMT-Serie2-3-C3,I21,-0.047856846,-0.031405171,1.262235509,EC_11176396,2.35E-08,1.228383781
EMT-Serie2-3-C3,I22,-0.013732834,0.004631036,0.961985516,EC_11176396,7.06E-09,0.994305747
EMT-Serie2-3-C3,I23,-0.057428215,-0.009159842,0.983350945,EC_11176396,2.12E-09,0.594213126
EMT-Serie2-3-C3,I24,-0.238035789,0.019883808,0.010154377,EC_11176396,6.35E-10,0.592910869
EMT-Serie2-3-C1,E15,-0.005462185,0.295075589,0.757118603,EC_11176778,3.23E-05,1.475255301
EMT-Serie2-3-C1,E16,-0.034033613,0.124667255,1.374072277,EC_11176778,9.68E-06,1.481180614
EMT-Serie2-3-C1,E17,0.003361345,0.063731121,1.13106961,EC_11176778,2.90E-06,1.098440131
EMT-Serie2-3-C1,E18,-0.050420168,-0.021381501,1.294421538,EC_11176778,8.71E-07,1.295897285
EMT-Serie2-3-C1,E19,0.130672269,0.181196351,0.889764734,EC_11176778,2.61E-07,0.879036728
EMT-Serie2-3-C1,E20,-0.057142857,-0.085091166,1.460247393,EC_11176778,7.84E-08,1.188602199
EMT-Serie2-3-C1,E21,0.01302521,0.142246774,1.099005578,EC_11176778,2.35E-08,0.871471094
EMT-Serie2-3-C1,E22,0.01512605,-0.034531096,1.138127577,EC_11176778,7.06E-09,0.990661984
EMT-Serie2-3-C1,E23,-0.064285714,0.134029171,0.954596168,EC_11176778,2.12E-09,0.986498626
EMT-Serie2-3-C1,E24,-0.224789916,0.048473128,0.487484841,EC_11176778,6.35E-10,0.775905
EMT-Serie2-3-C2,E15,-0.050129646,0.356832688,0.55561481,EC_11176778,3.23E-05,1.276278479
EMT-Serie2-3-C2,E16,0.054883319,0.148808547,0.880110722,EC_11176778,9.68E-06,0.994290755
EMT-Serie2-3-C2,E17,-0.072169404,-0.036050382,1.301462746,EC_11176778,2.90E-06,1.185849841
EMT-Serie2-3-C2,E18,-0.068280035,-0.033374288,1.53837168,EC_11176778,8.71E-07,1.257227502
EMT-Serie2-3-C2,E19,-0.091616249,-0.010961634,1.412819341,EC_11176778,2.61E-07,1.256468487
EMT-Serie2-3-C2,E20,-0.008643042,0.012493365,1.102976281,EC_11176778,7.84E-08,1.048280619
EMT-Serie2-3-C2,E21,-0.068712187,-0.032618772,1.292650719,EC_11176778,2.35E-08,1.051295512
EMT-Serie2-3-C2,E22,-0.05315471,-0.02695462,1.255878917,EC_11176778,7.06E-09,1.099561011
EMT-Serie2-3-C2,E23,-0.195332757,-0.085247627,1.129361572,EC_11176778,2.12E-09,0.93419853
EMT-Serie2-3-C2,E24,-0.105012965,0.051672263,0.079282848,EC_11176778,6.35E-10,0.597280488
EMT-Serie2-3-C3,E15,-0.081564711,0.222180194,0.925878199,EC_11176778,3.23E-05,1.720922383
EMT-Serie2-3-C3,E16,-0.023304203,0.015464535,1.220535553,EC_11176778,9.68E-06,1.128609482
EMT-Serie2-3-C3,E17,0.109030379,0.171012431,0.921703049,EC_11176778,2.90E-06,0.854054444
EMT-Serie2-3-C3,E18,0.038285476,-0.017687315,1.201309245,EC_11176778,8.71E-07,1.114188323
EMT-Serie2-3-C3,E19,-0.015813566,-0.091047832,1.524960697,EC_11176778,2.61E-07,1.06354301
EMT-Serie2-3-C3,E20,-0.06158968,-0.089769952,1.399242288,EC_11176778,7.84E-08,1.173578381
EMT-Serie2-3-C3,E21,0.049521432,0.027451776,1.039457746,EC_11176778,2.35E-08,0.857012173
EMT-Serie2-3-C3,E22,-0.012068248,0.073744611,0.919357749,EC_11176778,7.06E-09,0.955798184
EMT-Serie2-3-C3,E23,-0.120266334,-0.06724714,0.674492925,EC_11176778,2.12E-09,0.871611723
EMT-Serie2-3-C3,E24,-0.135663754,0.087165999,0.595938249,EC_11176778,6.35E-10,0.747322881
EMT-Serie2-3-C1,N05,-0.003361345,0.067846359,0.291632307,EC_11176791,3.23E-05,0.823297081
EMT-Serie2-3-C1,N06,0.023529412,0.048601863,0.97860781,EC_11176791,9.68E-06,1.02014954
EMT-Serie2-3-C1,N07,0.041176471,0.023934751,0.792311424,EC_11176791,2.90E-06,0.933556561
EMT-Serie2-3-C1,N08,-0.06092437,0.040920658,0.996410381,EC_11176791,8.71E-07,1.033630062
EMT-Serie2-3-C1,N09,0.023529412,-0.041703082,1.123065729,EC_11176791,2.61E-07,1.097731178
EMT-Serie2-3-C1,N10,0.147058824,0.129348928,0.844700461,EC_11176791,7.84E-08,1.087180298
EMT-Serie2-3-C1,N11,0.041596639,0.038187178,0.778486539,EC_11176791,2.35E-08,0.904857888
EMT-Serie2-3-C1,N12,0.096218487,0.117724132,0.723381033,EC_11176791,7.06E-09,0.964924231
EMT-Serie2-3-C1,N13,0.131092437,0.03115251,0.939243269,EC_11176791,2.12E-09,1.058123674
EMT-Serie2-3-C1,N14,0.137815126,0.011647683,0.915183119,EC_11176791,6.35E-10,0.929911016
EMT-Serie2-3-C2,N05,-0.074762316,-0.026179884,0.429351414,EC_11176791,3.23E-05,0.927391586
EMT-Serie2-3-C2,N06,0,-0.044860791,0.901645589,EC_11176791,9.68E-06,1.02156994
EMT-Serie2-3-C2,N07,0.051858254,-0.024757562,0.954339987,EC_11176791,2.90E-06,1.006005594
EMT-Serie2-3-C2,N08,0.044079516,0.105596288,0.816014018,EC_11176791,8.71E-07,0.908334561
EMT-Serie2-3-C2,N09,0.024200519,-0.000891538,0.784346589,EC_11176791,2.61E-07,0.93707432
EMT-Serie2-3-C2,N10,0.022039758,0.006969671,0.981537915,EC_11176791,7.84E-08,1.164397836
EMT-Serie2-3-C2,N11,0.066551426,-0.011427363,0.820381939,EC_11176791,2.35E-08,0.84107554
EMT-Serie2-3-C2,N12,-0.007778738,-0.032087989,0.93280512,EC_11176791,7.06E-09,0.931558609
EMT-Serie2-3-C2,N13,0.06525497,0.080325685,0.91535883,EC_11176791,2.12E-09,0.970201853
EMT-Serie2-3-C2,N14,-0.009939499,0.015874706,0.912362233,EC_11176791,6.35E-10,0.906644164
EMT-Serie2-3-C3,N05,0.033707865,0.010272692,0.344939563,EC_11176791,3.23E-05,0.80868238
EMT-Serie2-3-C3,N06,0.11360799,0.110817726,0.850699724,EC_11176791,9.68E-06,0.956140695
EMT-Serie2-3-C3,N07,-0.032459426,-0.03480214,1.100126285,EC_11176791,2.90E-06,1.130660983
EMT-Serie2-3-C3,N08,0.000832293,-0.001663434,1.066544677,EC_11176791,8.71E-07,1.078299545
EMT-Serie2-3-C3,N09,0.033707865,-0.082933661,0.741346873,EC_11176791,2.61E-07,0.791239271
EMT-Serie2-3-C3,N10,0.019142738,-0.017122127,0.998814464,EC_11176791,7.84E-08,1.076554877
EMT-Serie2-3-C3,N11,-0.009155223,-0.014811721,0.823226206,EC_11176791,2.35E-08,1.009583185
EMT-Serie2-3-C3,N12,0.009987516,-0.0271261,0.757944383,EC_11176791,7.06E-09,0.889161867
EMT-Serie2-3-C3,N13,0.100707449,0.045971539,0.678668076,EC_11176791,2.12E-09,0.906640655
EMT-Serie2-3-C3,N14,-0.025384935,-0.028221425,0.972139893,EC_11176791,6.35E-10,0.9947767
EMT-Serie2-1-C1,C15,-0.15356711,-0.062749207,-0.630899272,EC_11176960,3.23E-05,0.268696041
EMT-Serie2-1-C1,C16,0.510278114,0.566679207,0.55816441,EC_11176960,9.68E-06,1.3077377
EMT-Serie2-1-C1,C17,0.189036679,0.202423669,0.756254729,EC_11176960,2.90E-06,1.078275745
EMT-Serie2-1-C1,C18,0.107214833,0.138274791,1.015861835,EC_11176960,8.71E-07,1.197047662
EMT-Serie2-1-C1,C19,-0.02821443,0.07666366,1.247397668,EC_11176960,2.61E-07,1.386137956
EMT-Serie2-1-C1,C20,-0.032648126,0.031191891,1.311079805,EC_11176960,7.84E-08,1.381342407
EMT-Serie2-1-C1,C21,-0.030632809,0.05852862,1.006261251,EC_11176960,2.35E-08,1.034447968
EMT-Serie2-1-C1,C22,0.10197501,0.201574158,0.849103858,EC_11176960,7.06E-09,0.949561835
EMT-Serie2-1-C1,C23,-0.183393793,0.124445289,1.095979755,EC_11176960,2.12E-09,1.149077074
EMT-Serie2-1-C1,C24,-0.343812979,0.060806119,0.553598915,EC_11176960,6.35E-10,0.951105014
EMT-Serie2-1-C2,C15,-0.121248986,-0.068821835,-0.829515733,EC_11176960,3.23E-05,0.345268575
EMT-Serie2-1-C2,C16,0.557988646,0.651116026,0.635306861,EC_11176960,9.68E-06,1.350671508
EMT-Serie2-1-C2,C17,0.153690187,0.194754413,0.91931521,EC_11176960,2.90E-06,1.220487622
EMT-Serie2-1-C2,C18,0.002838605,0.049477198,1.330136588,EC_11176960,8.71E-07,1.342507012
EMT-Serie2-1-C2,C19,-0.112327656,0.077841522,0.920715437,EC_11176960,2.61E-07,1.056852772
EMT-Serie2-1-C2,C20,-0.010948905,0.057918165,1.027264801,EC_11176960,7.84E-08,1.018707933
EMT-Serie2-1-C2,C21,-0.079075426,0.067676942,1.352593062,EC_11176960,2.35E-08,1.050775627
EMT-Serie2-1-C2,C22,-0.138280616,0.005129006,1.273863306,EC_11176960,7.06E-09,1.114505635
EMT-Serie2-1-C2,C23,-0.182887267,0.095940862,1.11870228,EC_11176960,2.12E-09,1.063235729
EMT-Serie2-1-C2,C24,-0.137469586,0.05983701,0.493223429,EC_11176960,6.35E-10,0.940210001
EMT-Serie2-1-C3,C15,-0.112134561,-0.133676614,-0.741241446,EC_11176960,3.23E-05,0.298364846
EMT-Serie2-1-C3,C16,0.309571486,0.454865111,0.472373634,EC_11176960,9.68E-06,1.312183864
EMT-Serie2-1-C3,C17,0.182619143,0.222643361,0.731972626,EC_11176960,2.90E-06,1.150163166
EMT-Serie2-1-C3,C18,0.13175811,0.111779559,0.547436667,EC_11176960,8.71E-07,1.074867835
EMT-Serie2-1-C3,C19,-0.108930717,-0.056814623,1.479505343,EC_11176960,2.61E-07,1.046447202
EMT-Serie2-1-C3,C20,-0.029235082,0.039309003,1.033617481,EC_11176960,7.84E-08,1.251900794
EMT-Serie2-1-C3,C21,-0.043251902,0.11077712,0.908488414,EC_11176960,2.35E-08,0.971548163
EMT-Serie2-1-C3,C22,-0.048057669,0.159507924,0.886613039,EC_11176960,7.06E-09,0.869854221
EMT-Serie2-1-C3,C23,-0.16659992,0.063004015,0.687669588,EC_11176960,2.12E-09,0.973797974
EMT-Serie2-1-C3,C24,-0.228273929,0.016245932,0.608716533,EC_11176960,6.35E-10,0.995569027
EMT-Serie2-3-C1,O15,-0.021008403,0.079313812,1.018772738,EC_11177096,3.23E-05,1.151229285
EMT-Serie2-3-C1,O16,0.010084034,0.011282933,0.854426389,EC_11177096,9.68E-06,0.852266823
EMT-Serie2-3-C1,O17,-0.044957983,0.005821696,1.18185787,EC_11177096,2.90E-06,1.115107464
EMT-Serie2-3-C1,O18,0.026470588,0.018775327,1.018578705,EC_11177096,8.71E-07,1.216074106
EMT-Serie2-3-C1,O19,-0.021008403,0.115351111,0.740019403,EC_11177096,2.61E-07,0.973588047
EMT-Serie2-3-C1,O20,0.154201681,0.138450513,0.553165171,EC_11177096,7.84E-08,0.863669142
EMT-Serie2-3-C1,O21,-0.055882353,0.004382721,0.784162018,EC_11177096,2.35E-08,0.965219628
EMT-Serie2-3-C1,O22,0.052941176,0.165663723,0.454183847,EC_11177096,7.06E-09,0.875766511
EMT-Serie2-3-C1,O23,-0.086134454,0.045064504,0.462503032,EC_11177096,2.12E-09,0.824475193
