Plate,Well,Class,Nuclei,R/N,G/N,Eccent,CPD_ID,Concentration
EMT-Serie2-3-C1,H18,2,0.008823529,-0.021204133,0.931217713,0.824787776,EC_11175103,8.71E-07
EMT-Serie2-3-C1,H19,2,0.026470588,-0.101090102,0.949782536,0.914358477,EC_11175103,2.61E-07
EMT-Serie2-3-C1,H20,2,0.098319328,0.094639033,0.613596596,0.512272617,EC_11175103,7.84E-08
EMT-Serie2-3-C1,H21,2,0.155042017,0.116631312,0.940493174,0.466504972,EC_11175103,2.35E-08
EMT-Serie2-3-C1,H22,2,-0.092016807,-0.06387559,0.957695696,0.931093864,EC_11175103,7.06E-09
EMT-Serie2-3-C1,H23,2,-0.035714286,0.035872804,0.735863089,0.605529954,EC_11175103,2.12E-09
EMT-Serie2-3-C1,H24,2,-0.089495798,0.02411355,0.848941002,0.203177298,EC_11175103,6.35E-10
EMT-Serie2-3-C2,H15,2,0.526361279,-0.145882586,0.243518963,-0.818883641,EC_11175103,3.23E-05
EMT-Serie2-3-C2,H16,2,0.394987035,0.302904227,0.580446077,-0.188937986,EC_11175103,9.68E-06
EMT-Serie2-3-C2,H17,2,0.093344857,0.000706725,0.787128011,0.558687592,EC_11175103,2.90E-06
EMT-Serie2-3-C2,H18,2,-0.029818496,-0.005154068,0.859948103,0.820026411,EC_11175103,8.71E-07
EMT-Serie2-3-C2,H19,2,0.049265341,-0.096108723,0.84310462,0.697343694,EC_11175103,2.61E-07
EMT-Serie2-3-C2,H20,2,0.010371651,-0.018655773,0.911527867,0.98364569,EC_11175103,7.84E-08
EMT-Serie2-3-C2,H21,2,0.021607606,-0.02353336,0.790490659,0.797729697,EC_11175103,2.35E-08
EMT-Serie2-3-C2,H22,2,0,-0.016770679,0.911597418,0.797120219,EC_11175103,7.06E-09
EMT-Serie2-3-C2,H23,2,-0.088159032,0.006171279,0.988046268,0.861140738,EC_11175103,2.12E-09
EMT-Serie2-3-C2,H24,2,-0.111063094,0.067804228,0.738614546,0.585987099,EC_11175103,6.35E-10
EMT-Serie2-3-C3,H15,2,0.473574698,-0.145440233,0.24262976,-0.65173578,EC_11175103,3.23E-05
EMT-Serie2-3-C3,H16,2,0.418643362,0.317835695,0.604342189,-0.333599649,EC_11175103,9.68E-06
EMT-Serie2-3-C3,H17,2,0.103620474,0.039225795,0.845320402,0.629107497,EC_11175103,2.90E-06
EMT-Serie2-3-C3,H18,2,0.084893883,-0.041114136,0.875721861,0.801731914,EC_11175103,8.71E-07
EMT-Serie2-3-C3,H19,2,0.071161049,-0.091767826,0.950514231,0.938249014,EC_11175103,2.61E-07
EMT-Serie2-3-C3,H20,2,-0.059508947,-0.076117816,0.919306443,0.925465839,EC_11175103,7.84E-08
EMT-Serie2-3-C3,H21,2,-0.009155223,0.008260214,0.900875045,0.862941677,EC_11175103,2.35E-08
EMT-Serie2-3-C3,H22,2,-0.024136496,-0.0049129,1.047787483,1.14842401,EC_11175103,7.06E-09
EMT-Serie2-3-C3,H23,2,-0.007490637,-0.045964237,0.662301549,0.54586222,EC_11175103,2.12E-09
EMT-Serie2-3-C3,H24,2,-0.079067832,0.020989356,0.777849214,0.139919074,EC_11175103,6.35E-10
EMT-Serie2-3-C1,G15,2,0.064705882,0.187292683,1.152803577,1.155396556,EC_11176072,3.23E-05
EMT-Serie2-3-C1,G16,2,0.127731092,0.142622967,0.971996379,1.343997089,EC_11176072,9.68E-06
EMT-Serie2-3-C1,G17,2,-0.008823529,-0.009835376,1.079270613,1.246107203,EC_11176072,2.90E-06
EMT-Serie2-3-C1,G18,2,0.035294118,0.066370194,1.203566656,1.087872908,EC_11176072,8.71E-07
EMT-Serie2-3-C1,G19,2,-0.044117647,-0.004906245,0.982071149,1.333834586,EC_11176072,2.61E-07
EMT-Serie2-3-C1,G20,2,0.060504202,0.023615774,1.131100597,1.01501334,EC_11176072,7.84E-08
EMT-Serie2-3-C1,G21,2,0.030252101,0.168837763,0.913021267,0.858816396,EC_11176072,2.35E-08
EMT-Serie2-3-C1,G22,2,-0.064705882,-0.030118336,1.131117973,1.246689304,EC_11176072,7.06E-09
EMT-Serie2-3-C1,G23,2,-0.142436975,-0.039408733,0.964861676,1.243002668,EC_11176072,2.12E-09
EMT-Serie2-3-C1,G24,2,-0.088655462,0.039261403,0.89920712,0.677395101,EC_11176072,6.35E-10
EMT-Serie2-3-C2,G15,2,-0.110630942,-0.01007601,0.991916943,1.479506323,EC_11176072,3.23E-05
EMT-Serie2-3-C2,G16,2,0.023336214,0.126509738,0.866770167,1.243054497,EC_11176072,9.68E-06
EMT-Serie2-3-C2,G17,2,-0.048833189,-0.045177191,1.163647893,1.313525319,EC_11176072,2.90E-06
EMT-Serie2-3-C2,G18,2,0.015989628,0.096713432,0.82391454,0.850652649,EC_11176072,8.71E-07
EMT-Serie2-3-C2,G19,2,-0.085566119,-0.08258484,1.091562625,1.62649195,EC_11176072,2.61E-07
EMT-Serie2-3-C2,G20,2,-0.070872947,-0.025400712,1.110692225,1.189649043,EC_11176072,7.84E-08
EMT-Serie2-3-C2,G21,2,-0.119273984,-0.024290355,1.013740895,1.355045965,EC_11176072,2.35E-08
EMT-Serie2-3-C2,G22,2,-0.022039758,-0.053011788,0.795144541,1.075575194,EC_11176072,7.06E-09
EMT-Serie2-3-C2,G23,2,-0.200518583,-0.044955416,0.873592231,1.114378587,EC_11176072,2.12E-09
EMT-Serie2-3-C2,G24,2,-0.131374244,0.006415232,0.624039551,0.145461933,EC_11176072,6.35E-10
EMT-Serie2-3-C3,G15,2,-0.046608406,0.075330642,1.180492831,1.222004588,EC_11176072,3.23E-05
EMT-Serie2-3-C3,G16,2,0.043695381,-0.022255553,1.053620881,1.060230406,EC_11176072,9.68E-06
EMT-Serie2-3-C3,G17,2,-0.005409904,-0.175696043,1.040987204,1.340145873,EC_11176072,2.90E-06
EMT-Serie2-3-C3,G18,2,0.069080316,-0.059172401,1.209460024,1.171464653,EC_11176072,8.71E-07
EMT-Serie2-3-C3,G19,2,-0.146899709,-0.099271536,1.114534402,1.473389861,EC_11176072,2.61E-07
EMT-Serie2-3-C3,G20,2,0.011235955,-0.057395053,1.011877298,1.202855597,EC_11176072,7.84E-08
EMT-Serie2-3-C3,G21,2,-0.109862672,-0.060256043,0.957935312,1.164995748,EC_11176072,2.35E-08
EMT-Serie2-3-C3,G22,2,-0.036620891,-0.048435291,0.833703555,0.874822814,EC_11176072,7.06E-09
EMT-Serie2-3-C3,G23,2,-0.066167291,0.010225958,0.768997433,0.677714492,EC_11176072,2.12E-09
EMT-Serie2-3-C3,G24,2,-0.175613816,0.013374654,0.70560784,0.111105384,EC_11176072,6.35E-10
EMT-Serie2-1-C1,N15,2,0.05280129,0.160519847,1.048853483,0.59831468,EC_11176305,3.23E-05
EMT-Serie2-1-C1,N16,2,0.038694075,0.125789675,1.066881127,0.83222457,EC_11176305,9.68E-06
EMT-Serie2-1-C1,N17,2,0.072148327,0.103338309,1.254028299,0.813779969,EC_11176305,2.90E-06
EMT-Serie2-1-C1,N18,2,0.070536074,0.107193471,1.137659817,0.897237223,EC_11176305,8.71E-07
EMT-Serie2-1-C1,N19,2,0.031035873,0.129880812,1.012492577,0.761394172,EC_11176305,2.61E-07
EMT-Serie2-1-C1,N20,2,0.027811366,0.15165122,1.278971949,1.138843234,EC_11176305,7.84E-08
EMT-Serie2-1-C1,N21,2,-0.032648126,-0.009712744,1.294101889,1.02903655,EC_11176305,2.35E-08
EMT-Serie2-1-C1,N22,2,0.000403063,0.008852445,0.896565541,1.175028045,EC_11176305,7.06E-09
EMT-Serie2-1-C1,N23,2,0.00362757,0.048153797,0.932232206,0.888106233,EC_11176305,2.12E-09
EMT-Serie2-1-C1,N24,2,0.041918581,0.200643741,0.898067216,0.610654562,EC_11176305,6.35E-10
EMT-Serie2-1-C2,N15,2,-0.031224655,0.08804236,1.16987557,0.638662123,EC_11176305,3.23E-05
EMT-Serie2-1-C2,N16,2,-0.071776156,0.054005171,1.313092068,1.462550527,EC_11176305,9.68E-06
EMT-Serie2-1-C2,N17,2,0.100162206,0.020648503,0.875598113,0.705529576,EC_11176305,2.90E-06
EMT-Serie2-1-C2,N18,2,0.025547445,0.022207564,0.950216487,0.910781749,EC_11176305,8.71E-07
EMT-Serie2-1-C2,N19,2,0.01703163,0.086575336,1.325523723,1.036538004,EC_11176305,2.61E-07
EMT-Serie2-1-C2,N20,2,-0.049067315,-0.00371079,1.155683713,1.303003884,EC_11176305,7.84E-08
EMT-Serie2-1-C2,N21,2,0.119626926,0.174889625,0.870783336,0.957068505,EC_11176305,2.35E-08
EMT-Serie2-1-C2,N22,2,-0.032035685,0.078470446,1.180511462,1.245171858,EC_11176305,7.06E-09
EMT-Serie2-1-C2,N23,2,-0.031224655,0.016456607,0.986391321,1.042403107,EC_11176305,2.12E-09
EMT-Serie2-1-C2,N24,2,-0.191808597,-0.043068033,1.104876082,0.863491057,EC_11176305,6.35E-10
EMT-Serie2-1-C3,N15,2,0.066079295,0.155130471,0.961659605,0.482218754,EC_11176305,3.23E-05
EMT-Serie2-1-C3,N16,2,0.070484581,0.00510167,0.85924797,0.736534998,EC_11176305,9.68E-06
EMT-Serie2-1-C3,N17,2,0.136964357,0.132552541,0.954030219,0.883971665,EC_11176305,2.90E-06
EMT-Serie2-1-C3,N18,2,0.00680817,0.011098124,1.270841641,1.148781366,EC_11176305,8.71E-07
EMT-Serie2-1-C3,N19,2,0.062074489,0.062408424,1.016981235,1.07174931,EC_11176305,2.61E-07
EMT-Serie2-1-C3,N20,2,0.102523028,0.139404633,0.847474689,0.695593709,EC_11176305,7.84E-08
EMT-Serie2-1-C3,N21,2,0.044453344,0.026812778,0.929279181,1.071989435,EC_11176305,2.35E-08
EMT-Serie2-1-C3,N22,2,0.162595114,0.213736061,0.899597905,0.686156802,EC_11176305,7.06E-09
EMT-Serie2-1-C3,N23,2,-0.022026432,0.063525507,0.752190055,0.736799136,EC_11176305,2.12E-09
EMT-Serie2-1-C3,N24,2,-0.177813376,-0.069749852,0.879124939,0.571136991,EC_11176305,6.35E-10
EMT-Serie2-3-C1,I15,2,0.26512605,0.498761996,1.109738192,0.162794082,EC_11176396,3.23E-05
EMT-Serie2-3-C1,I16,2,-0.229831933,0.060326787,1.112372436,0.944215377,EC_11176396,9.68E-06
EMT-Serie2-3-C1,I17,2,0.032773109,0.008257654,0.857855037,0.943851564,EC_11176396,2.90E-06
EMT-Serie2-3-C1,I18,2,0.015966387,0.070667092,1.095096934,0.862624303,EC_11176396,8.71E-07
EMT-Serie2-3-C1,I19,2,-0.013445378,-0.036559392,1.264338476,1.288964346,EC_11176396,2.61E-07
EMT-Serie2-3-C1,I20,2,0.054201681,-0.008107462,1.044594498,1.166504972,EC_11176396,7.84E-08
EMT-Serie2-3-C1,I21,2,-0.057142857,0.073530737,1.20456058,1.126121756,EC_11176396,2.35E-08
EMT-Serie2-3-C1,I22,2,0.068487395,0.108862853,1.016118242,0.876061121,EC_11176396,7.06E-09
EMT-Serie2-3-C1,I23,2,0.042016807,0.001819459,0.982866983,0.623526558,EC_11176396,2.12E-09
EMT-Serie2-3-C1,I24,2,-0.189915966,0.015548362,0.96471224,0.964006791,EC_11176396,6.35E-10
EMT-Serie2-3-C2,I15,2,0.247191011,0.570361302,0.896994693,0.005409112,EC_11176396,3.23E-05
EMT-Serie2-3-C2,I16,2,0.101555748,0.09462874,0.939272743,0.761795927,EC_11176396,9.68E-06
EMT-Serie2-3-C2,I17,2,-0.052722558,-0.025017779,1.029795123,1.26565595,EC_11176396,2.90E-06
EMT-Serie2-3-C2,I18,2,0,0.012602775,1.073189016,1.102747727,EC_11176396,8.71E-07
EMT-Serie2-3-C2,I19,2,-0.086430424,-0.049951283,0.996549656,1.425034283,EC_11176396,2.61E-07
EMT-Serie2-3-C2,I20,2,-0.092912705,-0.042022062,0.93849256,1.137640307,EC_11176396,7.84E-08
EMT-Serie2-3-C2,I21,2,-0.151253241,-0.045140229,1.032023785,1.463101224,EC_11176396,2.35E-08
EMT-Serie2-3-C2,I22,2,-0.089455488,-0.047446696,1.050497185,1.166158769,EC_11176396,7.06E-09
EMT-Serie2-3-C2,I23,2,-0.207000864,-0.043691294,0.751792984,0.910381431,EC_11176396,2.12E-09
EMT-Serie2-3-C2,I24,2,-0.232065687,0.017345818,0.963391884,0.917822134,EC_11176396,6.35E-10
EMT-Serie2-3-C3,I15,2,0.170620058,0.483435758,1.039049873,-0.106827144,EC_11176396,3.23E-05
EMT-Serie2-3-C3,I16,2,0.030378693,-0.009492821,0.918343129,0.635086725,EC_11176396,9.68E-06
EMT-Serie2-3-C3,I17,2,0.044527674,-0.03325262,1.204693406,1.023221051,EC_11176396,2.90E-06
EMT-Serie2-3-C3,I18,2,0.032043279,-0.025988422,1.257365245,1.168320404,EC_11176396,8.71E-07
EMT-Serie2-3-C3,I19,2,-0.024552643,-0.041184237,0.967140308,0.985722017,EC_11176396,2.61E-07
EMT-Serie2-3-C3,I20,2,-0.034956305,-0.052286455,1.068570079,1.199659803,EC_11176396,7.84E-08
EMT-Serie2-3-C3,I21,2,-0.047856846,-0.031405171,1.228383781,1.262235509,EC_11176396,2.35E-08
EMT-Serie2-3-C3,I22,2,-0.013732834,0.004631036,0.994305747,0.961985516,EC_11176396,7.06E-09
EMT-Serie2-3-C3,I23,2,-0.057428215,-0.009159842,0.594213126,0.983350945,EC_11176396,2.12E-09
EMT-Serie2-3-C3,I24,2,-0.238035789,0.019883808,0.592910869,0.010154377,EC_11176396,6.35E-10
EMT-Serie2-3-C1,E15,2,-0.005462185,0.295075589,1.475255301,0.757118603,EC_11176778,3.23E-05
EMT-Serie2-3-C1,E16,2,-0.034033613,0.124667255,1.481180614,1.374072277,EC_11176778,9.68E-06
EMT-Serie2-3-C1,E17,2,0.003361345,0.063731121,1.098440131,1.13106961,EC_11176778,2.90E-06
EMT-Serie2-3-C1,E18,2,-0.050420168,-0.021381501,1.295897285,1.294421538,EC_11176778,8.71E-07
EMT-Serie2-3-C1,E19,2,0.130672269,0.181196351,0.879036728,0.889764734,EC_11176778,2.61E-07
EMT-Serie2-3-C1,E20,2,-0.057142857,-0.085091166,1.188602199,1.460247393,EC_11176778,7.84E-08
EMT-Serie2-3-C1,E21,2,0.01302521,0.142246774,0.871471094,1.099005578,EC_11176778,2.35E-08
EMT-Serie2-3-C1,E22,2,0.01512605,-0.034531096,0.990661984,1.138127577,EC_11176778,7.06E-09
EMT-Serie2-3-C1,E23,2,-0.064285714,0.134029171,0.986498626,0.954596168,EC_11176778,2.12E-09
EMT-Serie2-3-C1,E24,2,-0.224789916,0.048473128,0.775905,0.487484841,EC_11176778,6.35E-10
EMT-Serie2-3-C2,E15,2,-0.050129646,0.356832688,1.276278479,0.55561481,EC_11176778,3.23E-05
EMT-Serie2-3-C2,E16,2,0.054883319,0.148808547,0.994290755,0.880110722,EC_11176778,9.68E-06
EMT-Serie2-3-C2,E17,2,-0.072169404,-0.036050382,1.185849841,1.301462746,EC_11176778,2.90E-06
EMT-Serie2-3-C2,E18,2,-0.068280035,-0.033374288,1.257227502,1.53837168,EC_11176778,8.71E-07
EMT-Serie2-3-C2,E19,2,-0.091616249,-0.010961634,1.256468487,1.412819341,EC_11176778,2.61E-07
EMT-Serie2-3-C2,E20,2,-0.008643042,0.012493365,1.048280619,1.102976281,EC_11176778,7.84E-08
EMT-Serie2-3-C2,E21,2,-0.068712187,-0.032618772,1.051295512,1.292650719,EC_11176778,2.35E-08
EMT-Serie2-3-C2,E22,2,-0.05315471,-0.02695462,1.099561011,1.255878917,EC_11176778,7.06E-09
EMT-Serie2-3-C2,E23,2,-0.195332757,-0.085247627,0.93419853,1.129361572,EC_11176778,2.12E-09
EMT-Serie2-3-C2,E24,2,-0.105012965,0.051672263,0.597280488,0.079282848,EC_11176778,6.35E-10
EMT-Serie2-3-C3,E15,2,-0.081564711,0.222180194,1.720922383,0.925878199,EC_11176778,3.23E-05
EMT-Serie2-3-C3,E16,2,-0.023304203,0.015464535,1.128609482,1.220535553,EC_11176778,9.68E-06
EMT-Serie2-3-C3,E17,2,0.109030379,0.171012431,0.854054444,0.921703049,EC_11176778,2.90E-06
EMT-Serie2-3-C3,E18,2,0.038285476,-0.017687315,1.114188323,1.201309245,EC_11176778,8.71E-07
EMT-Serie2-3-C3,E19,2,-0.015813566,-0.091047832,1.06354301,1.524960697,EC_11176778,2.61E-07
EMT-Serie2-3-C3,E20,2,-0.06158968,-0.089769952,1.173578381,1.399242288,EC_11176778,7.84E-08
EMT-Serie2-3-C3,E21,2,0.049521432,0.027451776,0.857012173,1.039457746,EC_11176778,2.35E-08
EMT-Serie2-3-C3,E22,2,-0.012068248,0.073744611,0.955798184,0.919357749,EC_11176778,7.06E-09
EMT-Serie2-3-C3,E23,2,-0.120266334,-0.06724714,0.871611723,0.674492925,EC_11176778,2.12E-09
EMT-Serie2-3-C3,E24,2,-0.135663754,0.087165999,0.747322881,0.595938249,EC_11176778,6.35E-10
EMT-Serie2-3-C1,N05,2,-0.003361345,0.067846359,0.823297081,0.291632307,EC_11176791,3.23E-05
EMT-Serie2-3-C1,N06,2,0.023529412,0.048601863,1.02014954,0.97860781,EC_11176791,9.68E-06
EMT-Serie2-3-C1,N07,2,0.041176471,0.023934751,0.933556561,0.792311424,EC_11176791,2.90E-06
EMT-Serie2-3-C1,N08,2,-0.06092437,0.040920658,1.033630062,0.996410381,EC_11176791,8.71E-07
EMT-Serie2-3-C1,N09,2,0.023529412,-0.041703082,1.097731178,1.123065729,EC_11176791,2.61E-07
EMT-Serie2-3-C1,N10,2,0.147058824,0.129348928,1.087180298,0.844700461,EC_11176791,7.84E-08
EMT-Serie2-3-C1,N11,2,0.041596639,0.038187178,0.904857888,0.778486539,EC_11176791,2.35E-08
EMT-Serie2-3-C1,N12,2,0.096218487,0.117724132,0.964924231,0.723381033,EC_11176791,7.06E-09
EMT-Serie2-3-C1,N13,2,0.131092437,0.03115251,1.058123674,0.939243269,EC_11176791,2.12E-09
EMT-Serie2-3-C1,N14,2,0.137815126,0.011647683,0.929911016,0.915183119,EC_11176791,6.35E-10
EMT-Serie2-3-C2,N05,2,-0.074762316,-0.026179884,0.927391586,0.429351414,EC_11176791,3.23E-05
EMT-Serie2-3-C2,N06,2,0,-0.044860791,1.02156994,0.901645589,EC_11176791,9.68E-06
EMT-Serie2-3-C2,N07,2,0.051858254,-0.024757562,1.006005594,0.954339987,EC_11176791,2.90E-06
EMT-Serie2-3-C2,N08,2,0.044079516,0.105596288,0.908334561,0.816014018,EC_11176791,8.71E-07
EMT-Serie2-3-C2,N09,2,0.024200519,-0.000891538,0.93707432,0.784346589,EC_11176791,2.61E-07
EMT-Serie2-3-C2,N10,2,0.022039758,0.006969671,1.164397836,0.981537915,EC_11176791,7.84E-08
EMT-Serie2-3-C2,N11,2,0.066551426,-0.011427363,0.84107554,0.820381939,EC_11176791,2.35E-08
EMT-Serie2-3-C2,N12,2,-0.007778738,-0.032087989,0.931558609,0.93280512,EC_11176791,7.06E-09
EMT-Serie2-3-C2,N13,2,0.06525497,0.080325685,0.970201853,0.91535883,EC_11176791,2.12E-09
EMT-Serie2-3-C2,N14,2,-0.009939499,0.015874706,0.906644164,0.912362233,EC_11176791,6.35E-10
EMT-Serie2-3-C3,N05,2,0.033707865,0.010272692,0.80868238,0.344939563,EC_11176791,3.23E-05
EMT-Serie2-3-C3,N06,2,0.11360799,0.110817726,0.956140695,0.850699724,EC_11176791,9.68E-06
EMT-Serie2-3-C3,N07,2,-0.032459426,-0.03480214,1.130660983,1.100126285,EC_11176791,2.90E-06
EMT-Serie2-3-C3,N08,2,0.000832293,-0.001663434,1.078299545,1.066544677,EC_11176791,8.71E-07
EMT-Serie2-3-C3,N09,2,0.033707865,-0.082933661,0.791239271,0.741346873,EC_11176791,2.61E-07
EMT-Serie2-3-C3,N10,2,0.019142738,-0.017122127,1.076554877,0.998814464,EC_11176791,7.84E-08
EMT-Serie2-3-C3,N11,2,-0.009155223,-0.014811721,1.009583185,0.823226206,EC_11176791,2.35E-08
EMT-Serie2-3-C3,N12,2,0.009987516,-0.0271261,0.889161867,0.757944383,EC_11176791,7.06E-09
EMT-Serie2-3-C3,N13,2,0.100707449,0.045971539,0.906640655,0.678668076,EC_11176791,2.12E-09
EMT-Serie2-3-C3,N14,2,-0.025384935,-0.028221425,0.9947767,0.972139893,EC_11176791,6.35E-10
EMT-Serie2-1-C1,C15,2,-0.15356711,-0.062749207,0.268696041,-0.630899272,EC_11176960,3.23E-05
EMT-Serie2-1-C1,C16,2,0.510278114,0.566679207,1.3077377,0.55816441,EC_11176960,9.68E-06
EMT-Serie2-1-C1,C17,2,0.189036679,0.202423669,1.078275745,0.756254729,EC_11176960,2.90E-06
EMT-Serie2-1-C1,C18,2,0.107214833,0.138274791,1.197047662,1.015861835,EC_11176960,8.71E-07
EMT-Serie2-1-C1,C19,2,-0.02821443,0.07666366,1.386137956,1.247397668,EC_11176960,2.61E-07
EMT-Serie2-1-C1,C20,2,-0.032648126,0.031191891,1.381342407,1.311079805,EC_11176960,7.84E-08
EMT-Serie2-1-C1,C21,2,-0.030632809,0.05852862,1.034447968,1.006261251,EC_11176960,2.35E-08
EMT-Serie2-1-C1,C22,2,0.10197501,0.201574158,0.949561835,0.849103858,EC_11176960,7.06E-09
EMT-Serie2-1-C1,C23,2,-0.183393793,0.124445289,1.149077074,1.095979755,EC_11176960,2.12E-09
EMT-Serie2-1-C1,C24,2,-0.343812979,0.060806119,0.951105014,0.553598915,EC_11176960,6.35E-10
EMT-Serie2-1-C2,C15,2,-0.121248986,-0.068821835,0.345268575,-0.829515733,EC_11176960,3.23E-05
EMT-Serie2-1-C2,C16,2,0.557988646,0.651116026,1.350671508,0.635306861,EC_11176960,9.68E-06
EMT-Serie2-1-C2,C17,2,0.153690187,0.194754413,1.220487622,0.91931521,EC_11176960,2.90E-06
EMT-Serie2-1-C2,C18,2,0.002838605,0.049477198,1.342507012,1.330136588,EC_11176960,8.71E-07
EMT-Serie2-1-C2,C19,2,-0.112327656,0.077841522,1.056852772,0.920715437,EC_11176960,2.61E-07
EMT-Serie2-1-C2,C20,2,-0.010948905,0.057918165,1.018707933,1.027264801,EC_11176960,7.84E-08
EMT-Serie2-1-C2,C21,2,-0.079075426,0.067676942,1.050775627,1.352593062,EC_11176960,2.35E-08
EMT-Serie2-1-C2,C22,2,-0.138280616,0.005129006,1.114505635,1.273863306,EC_11176960,7.06E-09
EMT-Serie2-1-C2,C23,2,-0.182887267,0.095940862,1.063235729,1.11870228,EC_11176960,2.12E-09
EMT-Serie2-1-C2,C24,2,-0.137469586,0.05983701,0.940210001,0.493223429,EC_11176960,6.35E-10
EMT-Serie2-1-C3,C15,2,-0.112134561,-0.133676614,0.298364846,-0.741241446,EC_11176960,3.23E-05
EMT-Serie2-1-C3,C16,2,0.309571486,0.454865111,1.312183864,0.472373634,EC_11176960,9.68E-06
EMT-Serie2-1-C3,C17,2,0.182619143,0.222643361,1.150163166,0.731972626,EC_11176960,2.90E-06
EMT-Serie2-1-C3,C18,2,0.13175811,0.111779559,1.074867835,0.547436667,EC_11176960,8.71E-07
EMT-Serie2-1-C3,C19,2,-0.108930717,-0.056814623,1.046447202,1.479505343,EC_11176960,2.61E-07
EMT-Serie2-1-C3,C20,2,-0.029235082,0.039309003,1.251900794,1.033617481,EC_11176960,7.84E-08
EMT-Serie2-1-C3,C21,2,-0.043251902,0.11077712,0.971548163,0.908488414,EC_11176960,2.35E-08
EMT-Serie2-1-C3,C22,2,-0.048057669,0.159507924,0.869854221,0.886613039,EC_11176960,7.06E-09
EMT-Serie2-1-C3,C23,2,-0.16659992,0.063004015,0.973797974,0.687669588,EC_11176960,2.12E-09
EMT-Serie2-1-C3,C24,2,-0.228273929,0.016245932,0.995569027,0.608716533,EC_11176960,6.35E-10
