Plate,Well,Concentration,CPD_ID,G/N,R/N,Nuclei,Eccent
EMT 1-2,J09,2.61E-07,EC_4756168,2.082594975,0.486330394,0.215547703,1.030789576
EMT 1-2,K09,2.61E-07,EC_3941139,1.37318159,0.032478129,0.088017989,1.163815466
EMT 1-2,L09,2.61E-07,EC_4795178,1.373011575,0.023036133,0.127208481,0.925569251
EMT 1-2,M09,2.61E-07,EC_3960084,1.214324393,0.114860285,0.14712496,0.719706346
EMT 1-2,N09,2.61E-07,EC_9786646,1.515409254,0.166502916,0.034693222,1.183330225
EMT 1-2,O09,2.61E-07,EC_3970232,1.062225267,-0.012943408,-0.045615162,1.1218528
EMT 1-2,P09,2.61E-07,EC_11484996,0.825742332,-0.016502489,-0.074526181,0.713043183
EMT 1-2,A10,7.84E-08,EC_1669101,0.536438051,-0.101448978,-0.267587536,0.975144538
EMT 1-2,B10,7.84E-08,EC_2115383,0.766492317,0.089403493,0.282364279,0.546294569
EMT 1-2,C10,7.84E-08,EC_2153600,1.238377887,-0.003099868,0.014134276,1.212763432
EMT 1-2,D10,7.84E-08,EC_2118873,1.104969719,0.009923279,0.078702217,0.876299147
EMT 1-2,E10,7.84E-08,EC_3028064,1.30846632,-0.019402012,0.06906521,1.291754972
EMT 1-2,F10,7.84E-08,EC_4753261,1.196331203,0.003219477,0.05814327,1.171055086
EMT 1-2,G10,7.84E-08,EC_3839735,1.121301727,0.063895439,0.112431738,0.957206558
EMT 1-2,H10,7.84E-08,EC_4753381,1.407829106,-0.017905759,0.024734982,1.232006917
EMT 1-2,I10,7.84E-08,EC_3908975,1.224107304,0.036606065,0.098618696,0.973940761
EMT 1-2,J10,7.84E-08,EC_4756168,1.809860013,0.106332445,0.054609701,1.177277428
EMT 1-2,K10,7.84E-08,EC_3941139,1.269076111,0.025365662,0.065210408,0.966243367
EMT 1-2,L10,7.84E-08,EC_4795178,1.168045058,0.024524127,0.099582396,0.925365796
EMT 1-2,M10,7.84E-08,EC_3960084,1.279471782,0.051325097,0.103437199,0.888048694
EMT 1-2,N10,7.84E-08,EC_9786646,1.484757076,0.196701353,0.034050755,0.873450772
EMT 1-2,O10,7.84E-08,EC_3970232,1.106464429,-0.034029202,-0.023771282,1.275546362
EMT 1-2,P10,7.84E-08,EC_11484996,0.564086642,-0.07354732,-0.204625763,1.053729167
EMT 1-2,A11,2.35E-08,EC_1669101,0.558444289,-0.032288748,-0.088660456,0.500161069
EMT 1-2,B11,2.35E-08,EC_2115383,1.102617853,0.008332764,-0.017025377,1.094148963
EMT 1-2,C11,2.35E-08,EC_2153600,1.253356863,-0.046537176,-0.007388371,1.321188179
EMT 1-2,D11,2.35E-08,EC_2118873,1.435927526,-0.018967575,0.076774815,1.190264662
EMT 1-2,E11,2.35E-08,EC_3028064,1.35156851,-0.032893485,0.064889174,1.317407301
EMT 1-2,F11,2.35E-08,EC_4753261,1.300298545,0.083814617,0.075168648,1.018497482
EMT 1-2,G11,2.35E-08,EC_3839735,1.284136552,-0.037523779,0.014455509,1.03017921
EMT 1-2,H11,2.35E-08,EC_4753381,1.345940326,0.037393491,0.086733055,1.238653126
EMT 1-2,I11,2.35E-08,EC_3908975,1.172833797,0.020760714,0.08352072,1.025211509
EMT 1-2,J11,2.35E-08,EC_4756168,1.629906863,0.087091051,0.119820109,1.18114308
EMT 1-2,K11,2.35E-08,EC_3941139,1.408505622,-0.003226596,0.110504337,1.255438192
EMT 1-2,L11,2.35E-08,EC_4795178,1.113420851,0.059301882,0.068422743,1.029212797
EMT 1-2,M11,2.35E-08,EC_3960084,1.107888299,0.036635967,0.11628654,0.774384971
EMT 1-2,N11,2.35E-08,EC_9786646,1.284246353,0.020823366,0.007709605,1.413963819
EMT 1-2,O11,2.35E-08,EC_3970232,0.926146457,-0.042193658,0.003533569,0.978942371
EMT 1-2,P11,2.35E-08,EC_11484996,0.686064884,-0.091299581,-0.166398972,0.858801987
