Plate,Well,Concentration,Compound Name,Plate Name,Class,G,R,Nuclei,Eccent,LDA_1
EMT-Serie2-1-C1,B05,3.23E-05,EC_11191498,EMT-Serie2-1-C1,2,0.821745912,0.20658897,0.458686014,-0.591349039,0.111537766
EMT-Serie2-1-C1,C05,3.23E-05,EC_11190878,EMT-Serie2-1-C1,2,0.206688565,0.872310387,0.750906892,-1.403668049,0.897394661
EMT-Serie2-1-C1,D05,3.23E-05,EC_11193483,EMT-Serie2-1-C1,2,0.022826967,0.064615434,0.050785973,-1.309671023,0.087938389
EMT-Serie2-1-C1,E05,3.23E-05,EC_11190059,EMT-Serie2-1-C1,2,0.168995772,-0.101968304,0.220475615,-0.498786883,-0.044035852
EMT-Serie2-1-C1,F05,3.23E-05,EC_11259170,EMT-Serie2-1-C1,2,0.004402398,-0.257550468,-0.647722692,-3.982416321,-0.578378762
EMT-Serie2-1-C1,G05,3.23E-05,EC_11192169,EMT-Serie2-1-C1,2,0.611228453,0.146303346,-0.729544538,0.319558582,-0.188561102
EMT-Serie2-1-C1,H05,3.23E-05,EC_11258805,EMT-Serie2-1-C1,2,0.012897048,-0.278704374,-0.12898025,-3.404476794,-0.431666663
EMT-Serie2-1-C1,I05,3.23E-05,EC_11281652,EMT-Serie2-1-C1,2,0.376993587,-0.070808775,-0.158000806,-0.863765621,-0.231900169
EMT-Serie2-1-C1,J05,3.23E-05,EC_11265529,EMT-Serie2-1-C1,2,1.182381807,0.815122107,0.446594115,-0.350447419,0.588872787
EMT-Serie2-1-C1,K05,3.23E-05,EC_11281741,EMT-Serie2-1-C1,2,0.662330675,0.010552816,-0.810560258,-0.436722235,-0.360447109
EMT-Serie2-1-C1,L05,3.23E-05,EC_11265537,EMT-Serie2-1-C1,2,0.403601152,0.095823507,-0.105199516,0.163418643,0.032069849
EMT-Serie2-1-C1,M05,3.23E-05,EC_11257101,EMT-Serie2-1-C1,2,1.247889543,0.63207808,0.128174123,-0.257259138,0.303576598
EMT-Serie2-1-C1,N05,3.23E-05,EC_11191782,EMT-Serie2-1-C1,2,0.189211787,-0.010891272,-0.698911729,-0.421825676,-0.648756354
EMT-Serie2-1-C1,O05,3.23E-05,EC_11258170,EMT-Serie2-1-C1,2,0.321431617,0.504358801,0.456670697,-1.123920586,0.458669688
EMT-Serie2-1-C1,P05,3.23E-05,EC_11192156,EMT-Serie2-1-C1,2,0.111846856,-0.014653393,-0.31076179,-2.438861496,-0.283410027
EMT-Serie2-1-C1,A06,9.68E-06,EC_11187255,EMT-Serie2-1-C1,2,1.052649173,0.10779622,0.054816606,0.54686807,-0.12418694
EMT-Serie2-1-C1,B06,9.68E-06,EC_11191498,EMT-Serie2-1-C1,2,1.080532031,0.410640194,0.258766626,0.06775195,0.198716513
EMT-Serie2-1-C1,C06,9.68E-06,EC_11190878,EMT-Serie2-1-C1,2,0.726902694,0.934148055,0.655380895,-0.035558686,0.854250136
EMT-Serie2-1-C1,D06,9.68E-06,EC_11193483,EMT-Serie2-1-C1,2,0.920709304,0.384310743,0.322047561,-0.109597976,0.219011448
EMT-Serie2-1-C1,E06,9.68E-06,EC_11190059,EMT-Serie2-1-C1,2,0.961122468,0.441412724,0.365578396,-0.463932587,0.263238553
EMT-Serie2-1-C1,F06,9.68E-06,EC_11259170,EMT-Serie2-1-C1,2,1.218286174,0.163884181,0.05280129,0.949675198,-0.092235249
EMT-Serie2-1-C1,G06,9.68E-06,EC_11192169,EMT-Serie2-1-C1,2,1.233061447,-0.047804553,-0.197501008,1.780986669,-0.287219648
EMT-Serie2-1-C1,H06,9.68E-06,EC_11258805,EMT-Serie2-1-C1,2,1.101506429,0.530463064,0.327690447,0.259059247,0.330710847
EMT-Serie2-1-C1,I06,9.68E-06,EC_11281652,EMT-Serie2-1-C1,2,1.264253271,0.258066648,0.072954454,1.061255903,-0.010180417
EMT-Serie2-1-C1,J06,9.68E-06,EC_11265529,EMT-Serie2-1-C1,2,1.164501312,0.303137932,0.07376058,0.581957163,0.031657624
EMT-Serie2-1-C1,K06,9.68E-06,EC_11281741,EMT-Serie2-1-C1,2,0.496863462,-0.022726445,-0.555824264,0.223944066,-0.308069419
EMT-Serie2-1-C1,L06,9.68E-06,EC_11265537,EMT-Serie2-1-C1,2,1.095239389,0.477587065,0.181378476,-0.190237667,0.212515681
EMT-Serie2-1-C1,M06,9.68E-06,EC_11257101,EMT-Serie2-1-C1,2,0.971204064,0.409755624,0.133010883,0.293183063,0.161818831
EMT-Serie2-1-C1,N06,9.68E-06,EC_11191782,EMT-Serie2-1-C1,2,0.890132487,0.050330163,-0.049576784,0.359839295,-0.172535286
EMT-Serie2-1-C1,O06,9.68E-06,EC_11258170,EMT-Serie2-1-C1,2,0.676166458,0.680161758,0.43611447,-0.196525006,0.565436794
EMT-Serie2-1-C1,P06,9.68E-06,EC_11192156,EMT-Serie2-1-C1,2,0.660217765,0.463594403,0.343812979,-0.716156636,0.3119596
