Plate,Well,Class,G,Surface_nucleus,R,Nuclei,Eccentricity,Plate_Sanofi,COMPOUND_MASK,Concentration
4082_EMT-Serie2-1-C1_29112017_1156,B05,2,0.821745912,-0.824608195,0.20658897,0.458686014,-0.591349039,EMT-Serie2-1-C1,EC_11191498,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,C05,2,0.206688565,-0.254792811,0.8723103870000001,0.750906892,-1.403668049,EMT-Serie2-1-C1,EC_11190878,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,D05,2,0.022826967000000004,-2.401788664,0.064615434,0.050785973,-1.309671023,EMT-Serie2-1-C1,EC_11193483,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,E05,2,0.168995772,-1.994861568,-0.101968304,0.220475615,-0.498786883,EMT-Serie2-1-C1,EC_11190059,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,F05,2,0.004402398,0.781347493,-0.25755046800000003,-0.647722692,-3.982416321,EMT-Serie2-1-C1,EC_11259170,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,G05,2,0.611228453,1.105986273,0.146303346,-0.729544538,0.319558582,EMT-Serie2-1-C1,EC_11192169,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,H05,2,0.012897048,-0.108066114,-0.278704374,-0.12898025,-3.404476794,EMT-Serie2-1-C1,EC_11258805,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,I05,2,0.376993587,0.23180444600000005,-0.070808775,-0.158000806,-0.863765621,EMT-Serie2-1-C1,EC_11281652,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,J05,2,1.182381807,-0.111932173,0.815122107,0.446594115,-0.350447419,EMT-Serie2-1-C1,EC_11265529,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,K05,2,0.662330675,0.540514088,0.010552816,-0.810560258,-0.436722235,EMT-Serie2-1-C1,EC_11281741,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,L05,2,0.403601152,-1.662967811,0.095823507,-0.105199516,0.163418643,EMT-Serie2-1-C1,EC_11265537,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,M05,2,1.247889543,0.8241310540000001,0.63207808,0.128174123,-0.257259138,EMT-Serie2-1-C1,EC_11257101,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,N05,2,0.189211787,13.56668339,-0.010891272,-0.6989117290000001,-0.421825676,EMT-Serie2-1-C1,EC_11191782,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,O05,2,0.321431617,0.049561398,0.504358801,0.456670697,-1.123920586,EMT-Serie2-1-C1,EC_11258170,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,P05,2,0.111846856,2.380439703,-0.014653393,-0.31076179,-2.438861496,EMT-Serie2-1-C1,EC_11192156,3.2299999999999986e-05
4082_EMT-Serie2-1-C1_29112017_1156,A06,2,1.052649173,0.612268618,0.10779622,0.054816606,0.54686807,EMT-Serie2-1-C1,EC_11187255,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,B06,2,1.080532031,0.07794511700000001,0.410640194,0.258766626,0.06775195,EMT-Serie2-1-C1,EC_11191498,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,C06,2,0.7269026940000001,0.275994959,0.934148055,0.655380895,-0.035558686,EMT-Serie2-1-C1,EC_11190878,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,D06,2,0.920709304,0.033497682,0.384310743,0.32204756100000004,-0.109597976,EMT-Serie2-1-C1,EC_11193483,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,E06,2,0.961122468,-0.102352668,0.441412724,0.365578396,-0.463932587,EMT-Serie2-1-C1,EC_11190059,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,F06,2,1.2182861740000002,0.5807529029999999,0.163884181,0.05280129,0.949675198,EMT-Serie2-1-C1,EC_11259170,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,G06,2,1.233061447,-0.426232918,-0.047804553,-0.197501008,1.780986669,EMT-Serie2-1-C1,EC_11192169,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,H06,2,1.101506429,0.07394448,0.530463064,0.327690447,0.259059247,EMT-Serie2-1-C1,EC_11258805,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,I06,2,1.2642532709999998,0.759533626,0.258066648,0.072954454,1.061255903,EMT-Serie2-1-C1,EC_11281652,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,J06,2,1.164501312,0.896729755,0.303137932,0.07376058,0.581957163,EMT-Serie2-1-C1,EC_11265529,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,K06,2,0.496863462,1.800653315,-0.022726445,-0.555824264,0.223944066,EMT-Serie2-1-C1,EC_11281741,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,L06,2,1.095239389,0.660178377,0.477587065,0.181378476,-0.190237667,EMT-Serie2-1-C1,EC_11265537,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,M06,2,0.971204064,1.434601221,0.409755624,0.133010883,0.293183063,EMT-Serie2-1-C1,EC_11257101,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,N06,2,0.890132487,0.615070286,0.050330163,-0.049576784000000006,0.359839295,EMT-Serie2-1-C1,EC_11191782,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,O06,2,0.676166458,0.411025607,0.680161758,0.43611447,-0.196525006,EMT-Serie2-1-C1,EC_11258170,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,P06,2,0.660217765,0.743445441,0.463594403,0.343812979,-0.7161566359999999,EMT-Serie2-1-C1,EC_11192156,9.677e-06
4082_EMT-Serie2-1-C1_29112017_1156,A07,2,0.815807128,0.70734184,0.046082608,-0.023780734,0.519788161,EMT-Serie2-1-C1,EC_11187255,2.903e-06
