Plate_Sanofi,Well,COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Concentration,PlateSanofi_Well
EMT-Serie2-1-C1,D05,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_D05
EMT-Serie2-1-C1,D06,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_D06
EMT-Serie2-1-C1,D07,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_D07
EMT-Serie2-1-C1,D08,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_D08
EMT-Serie2-1-C1,D09,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_D09
EMT-Serie2-1-C1,D10,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_D10
EMT-Serie2-1-C1,D11,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_D11
EMT-Serie2-1-C1,D12,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_D12
EMT-Serie2-1-C1,D13,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_D13
EMT-Serie2-1-C1,D14,EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_D14
EMT-Serie2-1-C1,D15,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_D15
EMT-Serie2-1-C1,D16,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_D16
EMT-Serie2-1-C1,D17,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_D17
EMT-Serie2-1-C1,D18,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_D18
EMT-Serie2-1-C1,D19,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_D19
EMT-Serie2-1-C1,D20,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_D20
EMT-Serie2-1-C1,D21,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_D21
EMT-Serie2-1-C1,D22,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_D22
EMT-Serie2-1-C1,D23,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_D23
EMT-Serie2-1-C1,D24,EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_D24
EMT-Serie2-1-C1,E05,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_E05
EMT-Serie2-1-C1,E06,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_E06
EMT-Serie2-1-C1,E07,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_E07
EMT-Serie2-1-C1,E08,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_E08
EMT-Serie2-1-C1,E09,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_E09
EMT-Serie2-1-C1,E10,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_E10
EMT-Serie2-1-C1,E11,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_E11
EMT-Serie2-1-C1,E12,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_E12
EMT-Serie2-1-C1,E13,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_E13
EMT-Serie2-1-C1,E14,EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_E14
EMT-Serie2-1-C1,E15,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_E15
EMT-Serie2-1-C1,E16,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_E16
EMT-Serie2-1-C1,E17,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_E17
EMT-Serie2-1-C1,E18,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_E18
EMT-Serie2-1-C1,E19,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_E19
EMT-Serie2-1-C1,E20,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_E20
EMT-Serie2-1-C1,E21,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_E21
EMT-Serie2-1-C1,E22,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_E22
EMT-Serie2-1-C1,E23,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_E23
EMT-Serie2-1-C1,E24,EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_E24
EMT-Serie2-1-C1,F05,EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_F05
