COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E11,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E12,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E13,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E14,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E15,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E16,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E17,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E18,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E19,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E20,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E21,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E22,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E23,EMT-Serie2-1-C2
EC_11189738,EB_11189740,2200116202a,EMT-Serie2-1,E24,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F05,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F06,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F07,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F08,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F09,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F10,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F11,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F12,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F13,EMT-Serie2-1-C2
EC_11259170,EB_11259172,2200116202a,EMT-Serie2-1,F14,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F15,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F16,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F17,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F18,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F19,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F20,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F21,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F22,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F23,EMT-Serie2-1-C2
EC_11188498,EB_11188500,2200116202a,EMT-Serie2-1,F24,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G05,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G06,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G07,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G08,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G09,EMT-Serie2-1-C2
EC_11192169,EB_11192171,2200116202a,EMT-Serie2-1,G10,EMT-Serie2-1-C2
